"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2002,1,0,161.5105,0.00989,0,0,0.005,-10.98,0.65875,3.05,0,8
2002,1,1,161.4925,0,0,0,0,-11.245,0.66775,3.56,0,8.00011520114652
2002,1,2,154.357,0.05934,0,0,0.03,-12.11,0.6987,3.35,0,8.00026857757238
2002,1,3,144.0965,0,0,0,0,-12.35,0.7075,2.465,0,8.00043054287102
2002,1,4,132.8595,0,0,0,0,-12.86,0.7235,2.58,0,8.00058594442159
2002,1,5,121.406,0,0,0,0,-13.035,0.7359,2.29,0,8.00072765195888
2002,1,6,110.0985,0,0,0,0,-13.16,0.73505,2.69,0,8.00084543064711
2002,1,7,99.202,0,0,0,0,-13.92,0.76305,3.135,0,8.00093120114872
2002,1,8,88.769,51.27965,16.66,17.265,9.265,-13.96,0.7714,2.305,0,8.25520636983489
2002,1,9,79.741,318.73492,105.34,138.17,55.8,-12.545,0.7664,1.775,0,8.29176109688729
2002,1,10,72.113,610.84596,209.84,285.52,98.98,-10.56,0.6722,2.53,0,8.29196544443496
2002,1,11,66.507,831.41274,294.96,400.695,125.37,-8.695,0.60505,2.155,0,8.2919657463948
2002,1,12,63.507,948.23342,340.815,462.585,138.575,-6.78,0.5014,1.94,0,8.29196572327166
2002,1,13,63.4955,950.26087,341.3,463.21,139.115,-5.285,0.4324,2.505,0,8.29196574546504
2002,1,14,66.477,695.49447,246.5,338.63,105.115,-4.335,0.38715,3.735,0,8.29196581472088
2002,1,15,72.066,618.55027,214.99,293.19,97.725,-3.625,0.3685,3.1,0,8.29196609672989
2002,1,16,79.6835,226.72825,79.695,106.11,34.93,-3.65,0.37115,3.47,0,8.29196581388002
2002,1,17,88.7065,40.17318,13.105,14.695,7.205,-4.22,0.40775,3.42,0,8.29143332386131
2002,1,18,99.128,0.26703,0.105,0,0.03,-5.245,0.46695,3.31,0,8.10442785342302
2002,1,19,110.0195,0.00989,0,0,0.005,-6.04,0.51715,3,0,8.10305251871676
2002,1,20,121.3245,0.17802,0,0,0.09,-6.83,0.57535,2.865,0,8.10303850140327
2002,1,21,132.774,0.22747,0,0,0.115,-7.655,0.6036,3.39,0,8.1030375186402
2002,1,22,144.0065,0.24725,0,0,0.125,-8.275,0.6476,3.59,0,8.10307994330003
2002,1,23,154.259,0.32637,0,0,0.165,-9.14,0.68415,3.485,0,8.10316494012999
2002,2,0,161.3975,0.22747,0,0,0.115,-9.71,0.71195,3.335,0,8.10328672415442
2002,2,1,161.445,0.37582,0,0,0.19,-9.94,0.7313,3.635,0,8.10343661164619
2002,2,2,154.366,0.31648,0,0,0.16,-11.055,0.79315,3.87,0,8.10360814153746
2002,2,3,144.1305,0.24725,0,0,0.125,-11.42,0.7976,2.835,0,8.10378231864564
2002,2,4,132.9005,0.07912,0,0,0.04,-11.17,0.80785,2.115,0,8.10394523801149
2002,2,5,121.447,0.05934,0,0,0.03,-10.795,0.8069,2.805,0,8.10408577197295
2002,2,6,110.135,0.07912,0,0,0.04,-11.405,0.81195,2.115,0,8.10420055100236
2002,2,7,99.2295,0.28681,0.145,0,0,-11.315,0.80985,3.175,0,8.10428451610818
2002,2,8,88.7805,39.09517,13.73,13.615,6.035,-11.375,0.8169,2.8,0,8.27636272371567
2002,2,9,79.738,288.54075,97.31,122.605,48.565,-9.325,0.7946,1.955,0,8.35579478281229
2002,2,10,72.0885,588.13852,203.395,265.395,93.945,-5.68,0.70965,2.215,0,8.35618813023663
2002,2,11,66.4565,804.20535,284.675,380.955,121.9,-3.57,0.6171,2.815,0,8.35618787541937
2002,2,12,63.432,866.91784,310.64,419.87,127.64,-2.795,0.53815,2.355,0,8.35618796740577
2002,2,13,63.3965,924.69522,330.635,451.065,136.855,-2.025,0.46765,2.36,0,8.35618784054644
2002,2,14,66.3575,820.82055,290.64,394.005,124.335,-1.23,0.43345,1.82,0,8.35618786921809
2002,2,15,71.937,617.44259,212.555,287.2,99.6,-0.975,0.39925,2.265,0,8.35618796419622
2002,2,16,79.548,280.63864,92.73,121.7,49.15,-0.87,0.3887,1.785,0,8.35618833189956
2002,2,17,88.5755,46.55223,14.615,15.78,8.92,-1.655,0.41775,1.89,0,8.35614184995443
2002,2,18,98.988,0.21758,0.11,0,0,-2.83,0.48415,1.695,0,8.21010498936604
2002,2,19,109.879,0,0,0,0,-3.115,0.51605,2.5,0,8.20884392184831
2002,2,20,121.1845,0.00989,0,0,0.005,-4.415,0.6115,2.905,0,8.20886035636387
2002,2,21,132.634,0.15824,0,0,0.08,-6.05,0.7011,2.885,0,8.20886730174784
2002,2,22,143.865,0.08901,0,0,0.045,-6.5,0.7433,2.695,0,8.20891600033513
2002,2,23,154.1205,0.07912,0,0,0.04,-5.825,0.7379,3.57,0,8.20900259821913
2002,3,0,161.2775,1.00878,0,0,0.51,-7.16,0.76085,4.025,0.0105833333333333,8.20913823807288
2002,3,1,161.3905,0.45494,0,0,0.23,-8.675,0.7969,3.245,0.0105833333333333,8.20931965540654
2002,3,2,154.368,0.20769,0,0,0.105,-9.195,0.8101,2.95,0.0105833333333333,8.209494976816
2002,3,3,144.157,0,0,0,0,-9.21,0.7892,3,0.0105833333333333,8.20966141410235
2002,3,4,132.9355,0.02967,0,0,0.015,-9.08,0.7762,3.165,0.0105833333333333,8.20981444139243
2002,3,5,121.4835,0.30659,0,0,0.155,-9.845,0.7985,3.33,0.0105833333333333,8.20995595398872
2002,3,6,110.1645,0.03956,0,0,0.02,-10.88,0.8178,2.545,0.0105833333333333,8.21007045029752
2002,3,7,99.25,0,0,0,0,-11.32,0.81735,2.715,0.0105833333333333,8.21014419439092
2002,3,8,88.7905,44.49511,14.725,16.01,7.77,-11.41,0.8103,2.74,0.0105833333333333,8.39952977419308
2002,3,9,79.7295,296.32418,98.11,125.005,51.7,-9.57,0.7884,2.64,0.0105833333333333,8.44568289369553
2002,3,10,72.0575,588.04951,201.32,267.665,95.975,-6.86,0.75125,3.075,0.0105833333333333,8.44588232374986
2002,3,11,66.4,817.78432,289.06,389.025,124.38,-4.3,0.669,2.715,0.0105833333333333,8.44588157663496
2002,3,12,63.348,940.74669,335.84,455.99,139.765,-2.735,0.5776,4.875,0.0105833333333333,8.44588153453044
2002,3,13,63.2895,944.26753,336.845,458.575,140.54,-1.89,0.53705,5.47,0.0105833333333333,8.4458815609781
2002,3,14,66.2325,830.76,292.955,397.635,127.045,-1.335,0.47825,4.91,0.0105833333333333,8.4458816462793
2002,3,15,71.8,616.81952,212.1,283.43,99.74,-0.825,0.44745,3.6,0.0105833333333333,8.4458819887268
2002,3,16,79.4075,325.39089,106.66,138.8,57.845,-0.74,0.44,4.525,0.0105833333333333,8.4458816029228
2002,3,17,88.44,54.0983,16.14,17.83,11.21,-1.905,0.48795,4.085,0.0105833333333333,8.44587862565779
2002,3,18,98.8435,0.02967,0,0,0.015,-3.475,0.5625,3.79,0.0105833333333333,8.33478313907111
2002,3,19,109.7365,0,0,0,0,-3.89,0.5751,3.465,0.0105833333333333,8.33387034728364
2002,3,20,121.043,0.20769,0,0,0.105,-5.385,0.63755,3.44,0.0105833333333333,8.33392293521332
2002,3,21,132.4895,0.00989,0,0,0.005,-6.81,0.6948,3.67,0.0105833333333333,8.33393777908691
2002,3,22,143.72,0.04945,0,0,0.025,-7.655,0.72625,3.825,0.0105833333333333,8.33399133370379
2002,3,23,153.9745,0,0,0,0,-8.11,0.7423,3.69,0.0105833333333333,8.33408292971113
2002,4,0,161.1495,0.21758,0,0,0.11,-9.14,0.7806,4.245,0.0211666666666667,8.33420833099483
2002,4,1,161.3255,0.34615,0,0,0.175,-9.3,0.78575,4.295,0.0211666666666667,8.3343668155596
2002,4,2,154.362,0.11868,0,0,0.06,-9.95,0.7985,4.2,0.0211666666666667,8.33453817642779
2002,4,3,144.179,0,0,0,0,-9.55,0.78665,4.93,0.0211666666666667,8.33470190676447
2002,4,4,132.9655,0.07912,0,0,0.04,-9.915,0.79945,4.105,0.0211666666666667,8.334855477649
2002,4,5,121.513,0.06923,0,0,0.035,-10.05,0.7982,4.22,0.0211666666666667,8.3349908518643
2002,4,6,110.188,0,0,0,0,-9.72,0.7934,4.315,0.0211666666666667,8.33509552965103
2002,4,7,99.2645,0.06923,0.035,0,0,-9.435,0.78655,4.56,0.0211666666666667,8.33516419197909
2002,4,8,88.7915,50.68625,16.53,17.06,9.095,-8.68,0.7758,4.73,0.0211666666666667,8.52855498768687
2002,4,9,79.7145,325.43045,106.905,134.19,57.62,-6.275,0.7314,6.24,0.0211666666666667,8.55564952630419
2002,4,10,72.019,617.74918,211.545,277.415,100.765,-3.43,0.6325,9.315,0.0211666666666667,8.55574539318381
2002,4,11,66.336,828.95013,292.545,392.62,126.54,-0.905,0.5321,9.59,0.0211666666666667,8.55574452332098
2002,4,12,63.256,912.46129,325.35,442.015,135.955,1.115,0.4651,9.665,0.0211666666666667,8.55574449463933
2002,4,13,63.174,915.16126,325.445,444.32,137.225,2.73,0.4464,10.68,0.0211666666666667,8.55574453798106
2002,4,14,66.1005,807.2218,283.94,386.395,124.16,4.03,0.44605,11.035,0.0211666666666667,8.55574470194732
2002,4,15,71.6585,592.07474,203.575,272.655,95.755,4.835,0.44605,10.485,0.0211666666666667,8.55574474967176
2002,4,16,79.261,273.46839,91.43,119.84,46.825,4.575,0.4601,9.935,0.0211666666666667,8.55574451540865
