year,DATE,DOY,ring,CO2,plot,block,Vcmax25,Jmax25,vj25
2009,1-Jul,182,1,385,c,1,141.323,225.787,0.62591
2009,1-Jul,182,5,585,c,1,119.318,215.151,0.55458
2009,1-Jul,182,4,385,c,2,126.066,135.331,0.93154
2009,1-Jul,182,3,585,c,2,133.515,219.059,0.60949
2009,1-Jul,182,10,385,c,3,129.405,165.537,0.78173
2009,1-Jul,182,11,385,c,4,144.585,221.957,0.65141
2009,1-Jul,182,15,585,c,4,120.319,154.901,0.77674
2009,1-Jul,182,1,385,d,1,129.763,178.117,0.72853
2009,1-Jul,182,5,585,d,1,127.699,218.934,0.58328
2009,1-Jul,182,4,385,d,2,135.284,183.487,0.7373
2009,1-Jul,182,3,585,d,2,136.432,207.209,0.65843
2009,1-Jul,182,10,385,d,3,123.593,197.892,0.62455
2009,1-Jul,182,14,585,d,3,121.113,148.924,0.81325
2009,1-Jul,182,11,385,d,4,139.88,143.242,0.97653
2009,1-Jul,182,15,585,d,4,139.296,147.108,0.9469
2009,16-Jul,197,1,385,c,1,129.27,183.536,0.70433
2009,16-Jul,197,5,585,c,1,132.416,225.103,0.58825
2009,16-Jul,197,4,385,c,2,145.663,217.883,0.66854
2009,16-Jul,197,3,585,c,2,99.059,153.269,0.64631
2009,16-Jul,197,10,385,c,3,136.844,197.125,0.6942
2009,16-Jul,197,14,585,c,3,108.452,201.958,0.53701
2009,16-Jul,197,11,385,c,4,136.176,207.866,0.65511
2009,16-Jul,197,15,585,c,4,103.122,173.831,0.59323
2009,16-Jul,197,1,385,d,1,122.133,175.493,0.69594
2009,16-Jul,197,5,585,d,1,117.434,197.208,0.59548
2009,16-Jul,197,4,385,d,2,139.571,197.726,0.70588
2009,16-Jul,197,3,585,d,2,126.116,209.383,0.60232
2009,16-Jul,197,10,385,d,3,139.596,214.64,0.65037
2009,16-Jul,197,14,585,d,3,96.509,161.439,0.59781
2009,16-Jul,197,11,385,d,4,106.55,148.834,0.7159
2009,16-Jul,197,15,585,d,4,106.302,166.894,0.63694
2009,30-Jul,211,1,385,c,1,153.636,228.896,0.6712
2009,30-Jul,211,5,585,c,1,120.858,204.331,0.59148
2009,30-Jul,211,4,385,c,2,98.926,208.774,0.47384
2009,30-Jul,211,3,585,c,2,112.868,162.771,0.69342
2009,30-Jul,211,10,385,c,3,133.145,212.395,0.62688
2009,30-Jul,211,14,585,c,3,110.208,186.312,0.59153
2009,30-Jul,211,11,385,c,4,139.358,201.338,0.69216
2009,30-Jul,211,15,585,c,4,88.764,145.269,0.61103
2009,30-Jul,211,1,385,d,1,134.507,196.048,0.6861
2009,30-Jul,211,5,585,d,1,101.294,144.309,0.70192
2009,30-Jul,211,4,385,d,2,129.652,184.964,0.70096
2009,30-Jul,211,3,585,d,2,114.73,177.575,0.64609
2009,30-Jul,211,10,385,d,3,138.147,220.871,0.62547
2009,30-Jul,211,14,585,d,3,98.869,145.462,0.67969
2009,30-Jul,211,15,585,d,4,123.025,182.108,0.67556
2009,13-Aug,225,1,385,c,1,130.584,206.749,0.63161
2009,13-Aug,225,5,585,c,1,155.881,212.61,0.73318
2009,13-Aug,225,4,385,c,2,120.55,187.053,0.64447
2009,13-Aug,225,3,585,c,2,102.632,191.96,0.53466
2009,13-Aug,225,10,385,c,3,153.998,200.002,0.76999
2009,13-Aug,225,14,585,c,3,115.125,195.672,0.58836
2009,13-Aug,225,11,385,c,4,134.776,202.528,0.66547
2009,13-Aug,225,15,585,c,4,119.611,177.246,0.67483
2009,13-Aug,225,1,385,d,1,135.915,201.667,0.67396
2009,13-Aug,225,5,585,d,1,125.924,217.58,0.57875
2009,13-Aug,225,4,385,d,2,115.799,171.372,0.67572
2009,13-Aug,225,3,585,d,2,101.853,171.676,0.59328
2009,13-Aug,225,10,385,d,3,.,.,.
2009,13-Aug,225,14,585,d,3,106.552,183.169,0.58172
2009,13-Aug,225,11,385,d,4,132.375,208.684,0.63433
2009,13-Aug,225,15,585,d,4,106.917,162.772,0.65685
2009,27-Aug,239,1,385,c,1,140.935,260.686,0.54063
2009,27-Aug,239,5,585,c,1,113.732,223.647,0.50853
2009,27-Aug,239,4,385,c,2,129.761,273.363,0.47468
2009,27-Aug,239,3,585,c,2,92.973,225.83,0.4117
2009,27-Aug,239,10,385,c,3,126.896,227.131,0.55869
2009,27-Aug,239,14,585,c,3,114.554,259.21,0.44194
2009,27-Aug,239,11,385,c,4,129.531,284.832,0.45476
2009,27-Aug,239,15,585,c,4,126.61,263.437,0.48061
2009,27-Aug,239,1,385,d,1,137.704,240.65,0.57222
2009,27-Aug,239,5,585,d,1,132.078,256.437,0.51505
2009,27-Aug,239,4,385,d,2,125.115,230.644,0.54246
2009,27-Aug,239,3,585,d,2,118.013,250.564,0.47099
2009,27-Aug,239,10,385,d,3,129.234,255.464,0.50588
2009,27-Aug,239,14,585,d,3,106.191,218.595,0.48579
2009,27-Aug,239,11,385,d,4,125.356,252.309,0.49683
2009,27-Aug,239,15,585,d,4,105.818,197.219,0.53655
2009,10-Sep,253,1,385,c,1,113.92,222.963,0.51094
2009,10-Sep,253,5,585,c,1,135.678,265.586,0.51086
2009,10-Sep,253,4,385,c,2,127.9,251.472,0.5086
2009,10-Sep,253,3,585,c,2,120.772,260.703,0.46326
2009,10-Sep,253,10,385,c,3,105.072,198.793,0.52855
2009,10-Sep,253,14,585,c,3,107.177,247.9,0.43234
2009,10-Sep,253,11,385,c,4,139.5,224.965,0.6201
2009,10-Sep,253,15,585,c,4,109.757,237.338,0.46245
2009,10-Sep,253,1,385,d,1,79.658,140.648,0.56636
2009,10-Sep,253,5,585,d,1,80.255,188.206,0.42642
2009,10-Sep,253,4,385,d,2,120.491,236.157,0.51021
2009,10-Sep,253,3,585,d,2,137.231,253.632,0.54106
2009,10-Sep,253,10,385,d,3,104.847,206.253,0.50834
2009,10-Sep,253,14,585,d,3,91.452,220.153,0.4154
2009,10-Sep,253,11,385,d,4,82.282,153.607,0.53567
2009,10-Sep,253,15,585,d,4,84.71,193.591,0.43757
2010,14-Jul,195,17,385,c,1,.,.,.
2010,14-Jul,195,21,585,c,1,135.328,190.664,0.70977
2010,14-Jul,195,24,385,c,2,140.81,186.603,0.75459
2010,14-Jul,195,20,585,c,2,.,.,.
2010,14-Jul,195,25,385,c,3,135.087,178.133,0.75835
2010,14-Jul,195,29,585,c,3,153.1,194.389,0.7876
2010,14-Jul,195,28,385,c,4,133.664,173.964,0.76835
2010,14-Jul,195,32,385,c,4,152.235,220.086,0.69171
2010,14-Jul,195,17,385,d,1,151.853,189.602,0.8009
2010,14-Jul,195,21,585,d,1,113.971,160.548,0.70989
2010,14-Jul,195,24,385,d,2,151.95,184.105,0.82535
2010,14-Jul,195,20,585,d,2,121.351,161.726,0.75035
2010,14-Jul,195,25,585,d,3,.,.,.
2010,14-Jul,195,29,585,d,3,139.077,178.602,0.7787
2010,14-Jul,195,32,385,d,4,.,.,.
2010,14-Jul,195,28,585,d,4,93.43,163.106,0.57282
2010,28-Jul,209,17,385,c,1,155.012,201.432,0.76955
2010,28-Jul,209,21,585,c,1,100.138,173.576,0.57691
2010,28-Jul,209,24,385,c,2,151.816,236.939,0.64074
2010,28-Jul,209,20,585,c,2,159.181,212.978,0.74741
2010,28-Jul,209,25,385,c,3,140.253,186.813,0.75077
2010,28-Jul,209,29,585,c,3,98.275,160.323,0.61298
2010,28-Jul,209,32,385,c,4,132.074,190.529,0.69319
2010,28-Jul,209,28,585,c,4,118.947,176.64,0.67338
2010,28-Jul,209,17,385,d,1,149.232,196.617,0.759
2010,28-Jul,209,21,585,d,1,164.298,210.271,0.78136
2010,28-Jul,209,24,385,d,2,160.223,195.046,0.82146
2010,28-Jul,209,20,585,d,2,110.215,164.835,0.66864
2010,28-Jul,209,25,385,d,3,133.593,185.763,0.71916
2010,28-Jul,209,29,585,d,3,103.363,155.52,0.66463
2010,28-Jul,209,32,385,d,4,123.461,161.984,0.76218
2010,28-Jul,209,28,585,d,4,128.497,208.014,0.61773
2010,11-Aug,223,17,385,c,1,149.074,213.45,0.6984
2010,11-Aug,223,21,585,c,1,155.291,270.898,0.57324
