year,CO2,treatment,ring,block,Date,DOY,LAI
2006,370,control,17,5,10-Jul-06,191,4.43
2006,370,control,24,6,10-Jul-06,191,4.16
2006,370,control,25,7,10-Jul-06,191,3.8
2006,370,control,32,8,10-Jul-06,191,4.49
2006,550,carbon_dioxide,20,6,10-Jul-06,191,4.83
2006,550,carbon_dioxide,21,5,10-Jul-06,191,4.72
2006,550,carbon_dioxide,28,8,10-Jul-06,191,5.6
2006,550,carbon_dioxide,29,7,10-Jul-06,191,4.7
2006,370,control,17,5,21-Jul-06,202,6.98
2006,370,control,24,6,21-Jul-06,202,6.68
2006,370,control,25,7,21-Jul-06,202,7.64
2006,370,control,32,8,21-Jul-06,202,6.8
2006,550,carbon_dioxide,20,6,21-Jul-06,202,7.65
2006,550,carbon_dioxide,21,5,21-Jul-06,202,7.35
2006,550,carbon_dioxide,28,8,21-Jul-06,202,8.32
2006,550,carbon_dioxide,29,7,21-Jul-06,202,8.24
2006,370,control,17,5,26-Aug-06,238,6.82
2006,370,control,24,6,26-Aug-06,238,6.49
2006,370,control,25,7,26-Aug-06,238,6.27
2006,370,control,32,8,26-Aug-06,238,5.64
2006,550,carbon_dioxide,20,6,26-Aug-06,238,6.74
2006,550,carbon_dioxide,21,5,26-Aug-06,238,6.46
2006,550,carbon_dioxide,28,8,26-Aug-06,238,7.21
2006,550,carbon_dioxide,29,7,26-Aug-06,238,6.94
2006,370,control,17,5,4-Sep-06,247,4.26
2006,370,control,24,6,4-Sep-06,247,4.71
2006,370,control,25,7,4-Sep-06,247,4.08
2006,370,control,32,8,4-Sep-06,247,4.11
2006,550,carbon_dioxide,20,6,4-Sep-06,247,4.55
2006,550,carbon_dioxide,21,5,4-Sep-06,247,4.67
2006,550,carbon_dioxide,28,8,4-Sep-06,247,5.17
2006,550,carbon_dioxide,29,7,4-Sep-06,247,4.66
2006,370,control,17,5,9-Sep-06,252,2.09
2006,370,control,24,6,9-Sep-06,252,2.59
2006,370,control,25,7,9-Sep-06,252,2.1
2006,370,control,32,8,9-Sep-06,252,1.75
2006,550,carbon_dioxide,20,6,9-Sep-06,252,2.36
2006,550,carbon_dioxide,21,5,9-Sep-06,252,2.35
2006,550,carbon_dioxide,28,8,9-Sep-06,252,2.94
2006,550,carbon_dioxide,29,7,9-Sep-06,252,2.75
