year,plot,Date,DOY,Time,Block,Ring,LAI
2010,CON    ,6/29/2010,180,19:26:50,5,17,1.2
2010,CON    ,7/8/2010,189,6:43:16 AM,5,17,2.32
2010,CON    ,7/12/2010,193,8:13:49 PM,5,17,2.52
2010,CON    ,7/23/2010,203,7:24:47,5,17,5.05
2010,CON    ,7/30/2010,211,7:05:42,5,17,5.6
2010,CON    ,8/5/2010,217,6:37:28,5,17,5.6
2010,CON    ,8/15/2010,227,7:18:26,5,17,5.43
2010,CON    ,8/28/2010,240,7:36:30,5,17,5.11
2010,CON    ,9/3/2010,246,8:20:09,5,17,3.98
2010,CON    ,9/10/2010,253,8:18:18,5,17,2.16
2010,CON    ,9/17/2010,260,7:23:15,5,17,1.32
2010,CON    ,6/29/2010,180,19:15:45,6,20,1.07
2010,CON    ,7/8/2010,189,6:38:16 AM,6,20,1.75
2010,CON    ,7/12/2010,193,8:26:44 PM,6,20,2.67
2010,CON    ,7/21/2010,203,8:19:08,6,20,4.46
2010,CON    ,7/30/2010,211,7:05:27,6,20,5.63
2010,CON    ,8/5/2010,217,7:12:58,6,20,7.45
2010,CON    ,8/13/2010,227,19:29:48,6,20,6.31
2010,CON    ,8/20/2010,232,6:51:06,6,20,6.44
2010,CON    ,8/20/2010,232,6:51:06,6,20,6.44
2010,CON    ,8/28/2010,240,7:11:10,6,20,5.91
2010,CON    ,9/3/2010,246,7:19:32,6,20,4.79
2010,CON    ,9/10/2010,253,7:17:48,6,20,3.11
2010,CON    ,9/17/2010,260,8:25:39,6,20,1.72
2010,CON    ,6/29/2010,180,19:42:59,5,21,1.13
2010,CON    ,7/8/2010,189,6:56:20 AM,5,21,2.01
2010,CON    ,7/12/2010,193,8:24:27 PM,5,21,2.37
2010,CON    ,7/23/2010,203,7:37:42,5,21,5.44
2010,CON    ,7/30/2010,211,7:18:42,5,21,6.18
2010,CON    ,8/5/2010,217,6:41:46,5,21,6.14
2010,CON    ,8/15/2010,227,7:05:14,5,21,6.05
2010,CON    ,8/28/2010,240,7:49:09,5,21,4.73
2010,CON    ,9/3/2010,246,8:31:05,5,21,4.19
2010,CON    ,9/10/2010,253,8:15:07,5,21,2.79
2010,CON    ,9/17/2010,260,7:36:22,5,21,1.67
2010,CON    ,6/29/2010,180,19:28:41,6,24,1.07
2010,CON    ,7/8/2010,189,6:51:15 AM,6,24,1.54
2010,CON    ,7/12/2010,193,8:16:27 PM,6,24,2.36
2010,CON    ,7/21/2010,203,8:29:31,6,24,4.14
2010,CON    ,7/30/2010,211,7:13:28,6,24,5.4
2010,CON    ,8/5/2010,217,7:20:40,6,24,5.96
2010,CON    ,8/13/2010,227,19:41:44,6,24,5.28
2010,CON    ,8/20/2010,232,7:06:21,6,24,5.67
2010,CON    ,8/20/2010,232,7:06:21,6,24,5.67
2010,CON    ,8/28/2010,240,7:27:06,6,24,4.65
2010,CON    ,9/3/2010,246,7:35:23,6,24,3.85
2010,CON    ,9/10/2010,253,7:29:24,6,24,2.04
2010,CON    ,9/17/2010,260,8:36:35,6,24,1.14
2010,CON    ,6/29/2010,180,19:55:37,7,25,1.75
2010,CON    ,7/8/2010,189,7:15:49 AM,7,25,2.31
2010,CON    ,7/12/2010,193,7:58:31 PM,7,25,3.14
2010,CON    ,7/23/2010,203,8:10:02,7,25,4.95
2010,CON    ,7/30/2010,211,7:30:55,7,25,5.45
2010,CON    ,8/5/2010,217,6:51:20,7,25,5.75
2010,CON    ,8/15/2010,227,6:43:24,7,25,5.22
2010,CON    ,8/28/2010,240,8:07:25,7,25,4.33
2010,CON    ,9/3/2010,246,8:15:09,7,25,3.38
2010,CON    ,9/10/2010,253,7:54:03,7,25,1.89
2010,CON    ,9/17/2010,260,7:52:39,7,25,1.21
2010,CON    ,6/29/2010,180,19:56:01,8,28,1.07
2010,CON    ,7/8/2010,189,7:12:04 AM,8,28,1.48
2010,CON    ,7/12/2010,193,7:58:42 PM,8,28,2.54
2010,CON    ,7/21/2010,203,17:11:09,8,28,4.78
2010,CON    ,7/30/2010,211,7:30:28,8,28,5.99
2010,CON    ,8/5/2010,217,7:09:44,8,28,6.13
2010,CON    ,8/15/2010,227,6:24:45,8,28,6.08
2010,CON    ,8/20/2010,232,7:25:48,8,28,6.54
2010,CON    ,8/20/2010,232,7:25:48,8,28,6.54
2010,CON    ,8/28/2010,240,7:03:09,8,28,5.36
2010,CON    ,9/3/2010,246,7:49:29,8,28,4.56
2010,CON    ,9/10/2010,253,7:45:35,8,28,2.29
2010,CON    ,9/17/2010,260,8:12:10,8,28,1.82
2010,CON    ,6/29/2010,180,20:19:32,7,29,1.72
2010,CON    ,7/8/2010,189,7:43:38 AM,7,29,2.67
2010,CON    ,7/12/2010,193,7:42:56 PM,7,29,3.73
2010,CON    ,7/23/2010,203,8:00:25,7,29,5.73
2010,CON    ,7/30/2010,211,7:39:34,7,29,6.39
2010,CON    ,8/5/2010,217,6:49:18,7,29,6.31
2010,CON    ,8/15/2010,227,6:59:31,7,29,5.75
2010,CON    ,8/28/2010,240,7:55:19,7,29,5.27
2010,CON    ,9/3/2010,246,8:02:49,7,29,4.84
2010,CON    ,9/10/2010,253,8:02:41,7,29,3.07
2010,CON    ,9/17/2010,260,7:41:45,7,29,1.85
2010,CON    ,6/29/2010,180,20:06:12,8,32,0.93
2010,CON    ,7/8/2010,189,7:20:04 AM,8,32,1.32
2010,CON    ,7/12/2010,193,7:44:08 PM,8,32,2.04
2010,CON    ,7/21/2010,203,17:02:42,8,32,3.7
2010,CON    ,7/30/2010,211,7:43:28,8,32,4.66
2010,CON    ,8/5/2010,217,6:57:37,8,32,5.23
2010,CON    ,8/15/2010,227,6:37:24,8,32,5.44
2010,CON    ,8/20/2010,232,7:12:55,8,32,5.64
2010,CON    ,8/20/2010,232,7:12:55,8,32,5.64
2010,CON    ,8/28/2010,240,6:49:06,8,32,3.96
2010,CON    ,9/3/2010,246,7:40:37,8,32,3.38
2010,CON    ,9/10/2010,253,7:35:24,8,32,1.54
2010,CON    ,9/17/2010,260,8:00:20,8,32,1.32
