block,ring,CO2,hour,canopy_t
1,17,ambient,0,18.7587
1,17,ambient,1,18.4744
1,17,ambient,2,18.1784
1,17,ambient,3,18.0041
1,17,ambient,4,17.8638
1,17,ambient,5,17.7743
1,17,ambient,6,18.2354
1,17,ambient,7,20.3026
1,17,ambient,8,22.5664
1,17,ambient,9,24.4141
1,17,ambient,10,25.969
1,17,ambient,11,26.995
1,17,ambient,12,27.5245
1,17,ambient,13,27.472
1,17,ambient,14,27.4396
1,17,ambient,15,26.9136
1,17,ambient,16,26.3983
1,17,ambient,17,25.5823
1,17,ambient,18,24.4126
1,17,ambient,19,22.2906
1,17,ambient,20,20.4099
1,17,ambient,21,19.7246
1,17,ambient,22,19.354
1,17,ambient,23,19.0192
1,21,elevate,0,18.5294
1,21,elevate,1,18.3258
1,21,elevate,2,18.1076
1,21,elevate,3,17.9269
1,21,elevate,4,17.749
1,21,elevate,5,17.6908
1,21,elevate,6,18.1059
1,21,elevate,7,20.1743
1,21,elevate,8,22.3662
1,21,elevate,9,24.1431
1,21,elevate,10,25.7463
1,21,elevate,11,26.7526
1,21,elevate,12,27.3217
1,21,elevate,13,27.3479
1,21,elevate,14,27.531
1,21,elevate,15,27.1176
1,21,elevate,16,26.5985
1,21,elevate,17,25.7775
1,21,elevate,18,24.4013
1,21,elevate,19,21.9184
1,21,elevate,20,20.0321
1,21,elevate,21,19.4206
1,21,elevate,22,19.1116
1,21,elevate,23,18.7196
2,20,elevate,0,19.5211
2,20,elevate,1,19.2191
2,20,elevate,2,18.9065
2,20,elevate,3,18.7133
2,20,elevate,4,18.5863
2,20,elevate,5,18.4761
2,20,elevate,6,18.8251
2,20,elevate,7,20.6104
2,20,elevate,8,22.6704
2,20,elevate,9,24.5453
2,20,elevate,10,26.1688
2,20,elevate,11,27.3905
2,20,elevate,12,28.1691
2,20,elevate,13,28.357
2,20,elevate,14,28.5089
2,20,elevate,15,28.1343
2,20,elevate,16,27.7495
2,20,elevate,17,26.9806
2,20,elevate,18,25.7545
2,20,elevate,19,23.5385
2,20,elevate,20,21.5393
2,20,elevate,21,20.6921
2,20,elevate,22,20.1808
2,20,elevate,23,19.8188
2,24,ambient,0,20.2126
2,24,ambient,1,19.9764
2,24,ambient,2,19.8209
2,24,ambient,3,19.538
2,24,ambient,4,19.3533
2,24,ambient,5,19.1242
2,24,ambient,6,20.0322
2,24,ambient,7,22.2836
2,24,ambient,8,24.0717
2,24,ambient,9,25.7264
2,24,ambient,10,26.8092
2,24,ambient,11,27.6548
2,24,ambient,12,28.1759
2,24,ambient,13,28.5988
2,24,ambient,14,28.5317
2,24,ambient,15,28.0122
2,24,ambient,16,27.4174
2,24,ambient,17,26.9582
2,24,ambient,18,26.2241
2,24,ambient,19,24.3523
2,24,ambient,20,22.3475
2,24,ambient,21,21.4959
2,24,ambient,22,21.1843
2,24,ambient,23,20.7778
3,28,elevate,0,18.2617
3,28,elevate,1,17.9648
3,28,elevate,2,17.6669
3,28,elevate,3,17.3893
3,28,elevate,4,17.3662
3,28,elevate,5,17.2762
3,28,elevate,6,17.7974
3,28,elevate,7,20.0943
3,28,elevate,8,22.6048
3,28,elevate,9,24.5685
3,28,elevate,10,26.1615
3,28,elevate,11,27.2302
3,28,elevate,12,27.7862
3,28,elevate,13,27.7038
3,28,elevate,14,27.8095
3,28,elevate,15,27.2991
3,28,elevate,16,26.8091
3,28,elevate,17,25.8937
3,28,elevate,18,24.459
3,28,elevate,19,21.9195
3,28,elevate,20,19.7196
3,28,elevate,21,19.0334
3,28,elevate,22,18.7468
3,28,elevate,23,18.5116
3,32,ambient,0,18.3584
3,32,ambient,1,18.0599
3,32,ambient,2,17.7815
3,32,ambient,3,17.6086
3,32,ambient,4,17.5053
3,32,ambient,5,17.3594
3,32,ambient,6,17.7924
3,32,ambient,7,19.9691
3,32,ambient,8,22.232
3,32,ambient,9,23.9815
3,32,ambient,10,25.3999
3,32,ambient,11,26.254
3,32,ambient,12,26.7654
3,32,ambient,13,26.747
3,32,ambient,14,26.8471
3,32,ambient,15,26.4473
3,32,ambient,16,26.0115
3,32,ambient,17,25.243
3,32,ambient,18,24.1109
3,32,ambient,19,21.9991
3,32,ambient,20,20.0648
3,32,ambient,21,19.3636
3,32,ambient,22,18.9591
3,32,ambient,23,18.6492
4,25,ambient,0,19.3274
4,25,ambient,1,19.0386
4,25,ambient,2,18.7394
4,25,ambient,3,18.5687
4,25,ambient,4,18.4402
4,25,ambient,5,18.2885
4,25,ambient,6,18.6829
4,25,ambient,7,20.6011
4,25,ambient,8,22.7027
4,25,ambient,9,24.4833
4,25,ambient,10,26.034
4,25,ambient,11,27.1018
4,25,ambient,12,27.7436
4,25,ambient,13,27.816
4,25,ambient,14,27.9531
4,25,ambient,15,27.5406
4,25,ambient,16,27.0565
4,25,ambient,17,26.3027
4,25,ambient,18,25.1248
4,25,ambient,19,23.0276
4,25,ambient,20,21.1541
4,25,ambient,21,20.3732
4,25,ambient,22,19.9453
4,25,ambient,23,19.5727
4,29,elevate,0,19.1363
4,29,elevate,1,18.8522
4,29,elevate,2,18.6052
4,29,elevate,3,18.4361
4,29,elevate,4,18.3255
4,29,elevate,5,18.2307
4,29,elevate,6,18.5597
4,29,elevate,7,20.2936
4,29,elevate,8,22.5202
4,29,elevate,9,24.38
4,29,elevate,10,25.9597
4,29,elevate,11,26.9912
4,29,elevate,12,27.6131
4,29,elevate,13,27.7419
4,29,elevate,14,27.8643
4,29,elevate,15,27.5855
4,29,elevate,16,27.2222
4,29,elevate,17,26.5828
4,29,elevate,18,25.4416
4,29,elevate,19,23.3576
4,29,elevate,20,21.2899
4,29,elevate,21,20.3188
4,29,elevate,22,19.825
4,29,elevate,23,19.4405
