year,DOY,block,CO2,Ring,Cond
2004,182,5,385,17,0.41567
2004,182,5,585,21,0.42667
2004,182,6,385,24,0.335
2004,182,6,585,20,0.30233
2004,182,7,385,25,0.301
2004,182,7,585,29,0.22533
2004,182,8,385,32,0.46933
2004,182,8,585,28,0.41133
2004,196,5,385,17,0.31667
2004,196,5,585,21,0.02457
2004,196,6,385,24,0.72433
2004,196,6,585,20,0.18733
2004,196,7,385,25,0.39433
2004,196,7,585,29,0.28767
2004,196,8,385,32,0.6
2004,196,8,585,28,0.21423
2004,217,5,385,17,0.44067
2004,217,5,585,21,0.36533
2004,217,6,385,24,0.296
2004,217,6,585,20,0.06681
2004,217,7,385,25,0.71667
2004,217,7,585,29,0.20045
2004,217,8,385,32,0.506
2004,217,8,585,28,0.29567
2004,237,5,385,17,.
2004,237,5,585,21,0.73367
2004,237,6,385,24,0.712
2004,237,6,585,20,.
2004,237,7,385,25,0.677
2004,237,7,585,29,0.35767
2004,237,8,385,32,0.59533
2004,237,8,585,28,0.583
2004,253,5,385,17,0.49367
2004,253,5,585,21,0.16333
2004,253,6,385,24,0.17733
2004,253,6,585,20,0.127
2004,253,7,385,25,0.77067
2004,253,7,585,29,0.38933
2004,253,8,385,32,0.16633
2004,253,8,585,28,0.384
2005,192,1,385,1,0.24133
2005,192,1,585,5,0.30033
2005,192,2,385,4,0.16967
2005,192,2,585,3,0.10593
2005,192,3,385,10,0.31367
2005,192,3,585,14,0.156
2005,192,4,385,11,0.23533
2005,192,4,585,15,0.12133
2005,213,1,385,1,0.36867
2005,213,1,585,5,0.731
2005,213,2,385,4,1.003
2005,213,2,585,3,0.26567
2005,213,3,385,10,0.62633
2005,213,3,585,14,0.37833
2005,213,4,385,11,0.62467
2005,213,4,585,15,0.665
2005,235,1,385,1,0.606
2005,235,1,585,5,0.26833
2005,235,2,385,4,0.39833
2005,235,2,585,3,0.53933
2005,235,3,385,10,0.436
2005,235,3,585,14,0.311
2005,235,4,385,11,0.29833
2005,235,4,585,15,0.34167
2005,249,1,385,1,0.134
2005,249,1,585,5,0.09667
2005,249,2,385,4,0.09657
2005,249,2,585,3,0.03053
2005,249,3,385,10,0.0369
2005,249,3,585,14,0.049
2005,249,4,385,11,0.0568
2005,249,4,585,15,0.01983
2006,199,5,385,17,1.17667
2006,199,5,585,21,0.82967
2006,199,6,385,24,0.86
2006,199,6,585,20,0.948
2006,199,7,385,25,0.981
2006,199,7,585,29,0.91267
2006,199,8,385,32,1.18667
2006,199,8,585,28,0.67733
2006,213,5,385,17,0.94333
2006,213,5,585,21,0.655
2006,213,6,385,24,1.03167
2006,213,6,585,20,1.00333
2006,213,7,385,25,0.88733
2006,213,7,585,29,0.63867
2006,213,8,385,32,0.84133
2006,213,8,585,28,0.639
2006,237,5,385,17,0.74533
2006,237,5,585,21,0.37933
2006,237,6,385,24,0.766
2006,237,6,585,20,0.32
2006,237,7,385,25,0.687
2006,237,7,585,29,0.76667
2006,237,8,385,32,0.77567
2006,237,8,585,28,0.35433
2006,250,5,385,17,0.18377
2006,250,5,585,21,0.1511
2006,250,6,385,24,0.19357
2006,250,6,585,20,0.0668
2006,250,7,385,25,.
2006,250,7,585,29,.
2006,250,8,385,32,0.11043
2006,250,8,585,28,0.09637
2007,184,1,385,1,.
2007,184,1,585,5,0.541
2007,184,2,385,4,0.416
2007,184,2,585,3,0.217
2007,184,3,385,10,0.51033
2007,184,3,585,14,0.24267
2007,184,4,385,11,0.825
2007,184,4,585,15,0.58067
2007,193,2,385,4,0.25333
2007,193,2,585,3,0.38633
2007,193,3,385,10,0.62533
2007,193,3,585,14,0.196
2007,193,4,385,11,0.36833
2007,193,4,585,15,0.44733
2007,207,1,385,1,0.808
2007,207,1,585,5,0.54433
2007,207,2,385,4,1.01133
2007,207,2,585,3,0.63767
2007,207,3,385,10,0.841
2007,207,3,585,14,0.599
2007,207,4,385,11,0.76167
2007,207,4,585,15,0.52267
2007,229,1,385,1,0.84767
2007,229,1,585,5,0.77567
2007,229,2,385,4,0.771
2007,229,2,585,3,0.50733
2007,229,3,385,10,0.809
2007,229,3,585,14,0.664
2007,229,4,385,11,0.71967
2007,229,4,585,15,0.73
2007,246,1,385,1,0.303
2007,246,1,585,5,0.16533
2007,246,2,385,4,0.0724
2007,246,2,585,3,0.07057
2007,246,3,385,10,0.1274
2007,246,3,585,14,0.1002
2007,246,4,385,11,0.185
2007,246,4,585,15,0.05177
2008,198,5,385,17,0.80533
2008,198,5,585,21,0.582
2008,198,6,385,24,0.865
2008,198,6,585,20,0.64033
2008,198,7,385,25,0.882
2008,198,7,585,29,0.568
2008,198,8,385,32,0.73367
2008,198,8,585,28,0.52733
2008,205,5,385,17,0.70633
2008,205,5,585,21,0.579
2008,205,6,385,24,0.63333
2008,205,6,585,20,0.49433
2008,205,7,385,25,0.79933
2008,205,7,585,29,0.51233
2008,205,8,385,32,0.8065
2008,205,8,585,28,0.56467
2008,219,5,385,17,0.73933
2008,219,5,585,21,0.68267
2008,219,6,385,24,0.93867
2008,219,6,585,20,0.83467
2008,219,7,385,25,1.04
2008,219,7,585,29,0.802
2008,219,8,385,32,0.93
2008,219,8,585,28,0.85967
2008,225,5,385,17,0.9735
2008,225,5,585,21,0.3565
2008,225,6,385,24,0.40867
2008,225,6,585,20,0.39833
2008,225,7,385,25,0.61767
2008,225,8,385,32,0.688
2008,225,8,585,28,0.70233
2008,238,5,385,17,0.472
2008,238,5,585,21,0.181
2008,238,6,385,24,0.51
2008,238,6,585,20,0.313
2008,238,7,385,25,0.59567
2008,238,7,585,29,0.24833
2008,238,8,385,32,0.529
2008,238,8,585,28,0.362
2008,246,5,385,17,0.78967
2008,246,5,585,21,0.38733
2008,246,6,385,24,0.308
2008,246,6,585,20,0.27367
2008,246,7,385,25,0.51233
2008,246,7,585,29,0.47567
2008,246,8,385,32,0.59433
2008,246,8,585,28,0.547
2009,183,1,385,1,0.349
2009,183,1,585,5,0.24445
2009,183,2,385,4,0.34799
2009,183,2,585,3,0.23213
2009,183,3,385,10,0.42935
2009,183,3,585,14,0.23872
2009,183,4,385,11,0.31387
2009,183,4,585,15,0.28175
2009,197,1,385,1,0.77926
2009,197,1,585,5,0.76408
2009,197,2,385,4,0.91985
2009,197,2,585,3,0.47509
2009,197,3,385,10,0.77396
2009,197,3,585,14,0.5376
2009,197,4,385,11,0.7547
2009,197,4,585,15,0.60447
2009,210,1,385,1,0.95543
2009,210,1,585,5,0.6317
2009,210,2,385,4,0.88969
2009,210,2,585,3,0.70931
2009,210,3,385,10,0.81893
2009,210,3,585,14,0.47269
2009,210,4,385,11,0.83883
2009,210,4,585,15,0.54102
2009,224,1,385,1,0.55977
2009,224,1,585,5,0.37271
2009,224,2,385,4,0.43696
2009,224,2,585,3,0.42848
2009,224,3,385,10,0.65964
2009,224,3,585,14,0.60596
2009,224,4,385,11,0.60914
2009,224,4,585,15,0.4833
2009,238,1,385,1,0.6534
2009,238,1,585,5,0.4022
2009,238,2,385,4,0.53708
2009,238,2,585,3,0.28215
2009,238,3,385,10,0.76089
2009,238,3,585,14,0.29444
