year,DOY,block,ring,CO2,H2O,VWCRLD
2010,197,1,17,385,con,32.3517
2010,197,1,17,385,dry,28.0495
2010,197,1,21,585,con,30.8791
2010,197,1,21,585,dry,27.2616
2010,197,2,20,585,con,28.6185
2010,197,2,20,585,dry,27.0322
2010,197,2,24,385,con,31.4206
2010,197,2,24,385,dry,26.2979
2010,197,3,25,385,con,29.332
2010,197,3,25,385,dry,29.6954
2010,197,3,29,585,con,35.7543
2010,197,3,29,585,dry,30.0565
2010,197,4,28,585,con,33.0329
2010,197,4,28,585,dry,30.3971
2010,197,4,32,385,con,33.2754
2010,197,4,32,385,dry,28.1966
2010,208,1,17,385,con,40.5308
2010,208,1,17,385,dry,30.2592
2010,208,1,21,585,con,33.0565
2010,208,1,21,585,dry,26.9649
2010,208,2,20,585,con,36.8336
2010,208,2,20,585,dry,28.1695
2010,208,2,24,385,con,39.3614
2010,208,2,24,385,dry,32.6354
2010,208,3,25,385,con,37.5066
2010,208,3,25,385,dry,30.1935
2010,208,3,29,585,con,40.6116
2010,208,3,29,585,dry,32.4851
2010,208,4,28,585,con,38.7021
2010,208,4,28,585,dry,29.4282
2010,208,4,32,385,con,39.7611
2010,208,4,32,385,dry,32.9449
2010,224,1,17,385,con,37.5683
2010,224,1,17,385,dry,30.4696
2010,224,1,21,585,con,27.8313
2010,224,1,21,585,dry,26.8929
2010,224,2,20,585,con,26.6423
2010,224,2,20,585,dry,27.7851
2010,224,2,24,385,con,30.117
2010,224,2,24,385,dry,26.1304
2010,224,3,25,385,con,32.7032
2010,224,3,25,385,dry,30.2959
2010,224,3,29,585,con,34.7
2010,224,3,29,585,dry,31.9001
2010,224,4,28,585,con,26.3592
2010,224,4,28,585,dry,26.9542
2010,224,4,32,385,con,31.7078
2010,224,4,32,385,dry,31.9992
2010,237,1,17,385,con,37.14
2010,237,1,17,385,dry,31.6147
2010,237,1,21,585,con,28.8389
2010,237,1,21,585,dry,27.1062
2010,237,2,20,585,con,28.9952
2010,237,2,20,585,dry,28.8802
2010,237,2,24,385,con,32.9702
2010,237,2,24,385,dry,25.2657
2010,237,3,25,385,con,34.5894
2010,237,3,25,385,dry,30.0004
2010,237,3,29,585,con,35.2612
2010,237,3,29,585,dry,30.9682
2010,237,4,28,585,con,28.3404
2010,237,4,28,585,dry,28.0712
2010,237,4,32,385,con,34.1968
2010,237,4,32,385,dry,31.401
2010,253,1,17,385,con,39.2734
2010,253,1,17,385,dry,29.7171
2010,253,1,21,585,con,30.8553
2010,253,1,21,585,dry,26.0044
2010,253,2,20,585,con,33.1242
2010,253,2,20,585,dry,27.7355
2010,253,2,24,385,con,36.5373
2010,253,2,24,385,dry,24.5737
2010,253,3,25,385,con,37.3997
2010,253,3,25,385,dry,28.7655
2010,253,3,29,585,con,37.5274
2010,253,3,29,585,dry,29.9919
2010,253,4,28,585,con,32.6448
2010,253,4,28,585,dry,27.2917
2010,253,4,32,385,con,36.5796
2010,253,4,32,385,dry,31.8342
