"Obs","block","Doy","CO2","h2o","ring","cica","Photo","Cond","Ci"
"1",1,183,385,"con",1,0.73337,17.8541,0.34643,286.329
"2",1,183,385,"dry",1,0.71492,18.2489,0.33750,278.705
"3",1,183,585,"con",5,0.69388,19.6914,0.21072,409.086
"4",1,183,585,"dry",5,0.66755,18.5607,0.17307,394.055
"5",1,197,385,"con",1,0.79800,31.0738,0.77604,305.221
"6",1,197,385,"dry",1,0.76676,30.8184,0.66850,293.383
"7",1,197,585,"con",5,0.78169,33.4840,0.54795,453.965
"8",1,197,585,"dry",5,0.69213,30.2641,0.36383,402.992
"9",1,210,385,"con",1,0.80035,29.5241,0.78133,306.965
"10",1,210,385,"dry",1,0.80100,32.4409,0.82492,306.112
"11",1,210,585,"con",5,0.78547,36.7798,0.59361,454.948
"12",1,210,585,"dry",5,0.72763,32.8776,0.43043,422.866
"13",1,224,385,"con",1,0.76780,27.7915,0.60109,294.902
"14",1,224,385,"dry",1,0.78483,27.9042,0.64955,301.814
"15",1,224,585,"con",5,0.70571,27.9111,0.35076,411.821
"16",1,224,585,"dry",5,0.66680,25.0230,0.26526,390.466
"17",1,238,385,"con",1,0.78852,27.4310,0.64037,303.455
"18",1,238,385,"dry",1,0.78968,26.0974,0.63992,304.332
"19",1,238,585,"con",5,0.71816,29.4831,0.39806,419.066
"20",1,238,585,"dry",5,0.75787,31.1397,0.46759,441.484
"21",1,252,385,"con",1,0.79394,22.0922,0.54717,307.942
"22",1,252,385,"dry",1,0.80287,21.4682,0.59890,311.701
"23",1,252,585,"con",5,0.78673,25.3858,0.43468,461.095
"24",1,252,585,"dry",5,0.74903,21.8211,0.34280,440.323
"25",2,183,385,"con",4,0.75535,19.9705,0.42180,293.076
"26",2,183,385,"dry",4,0.76723,17.7313,0.39812,298.526
"27",2,183,585,"con",3,0.71737,21.8110,0.24213,421.530
"28",2,183,585,"dry",3,0.72161,21.6975,0.26161,423.335
"29",2,197,385,"con",4,0.78740,31.1926,0.73284,301.483
"30",2,197,385,"dry",4,0.77403,28.5436,0.64650,297.420
"31",2,197,585,"con",3,0.72636,31.1249,0.41035,422.813
"32",2,197,585,"dry",3,0.71245,31.6285,0.40682,414.472
"33",2,210,385,"con",4,0.81829,32.0471,0.81528,312.896
"34",2,210,385,"dry",4,0.77323,28.0477,0.68558,296.975
