"Obs","block","DOY","CO2","H2O","ring","cica","Photo","Cond","Ci"
"1",1,181,385,"con",17,0.70794,24.9594,0.42356,273.348
"2",1,181,385,"dry",17,0.65452,25.5278,0.35441,252.316
"3",1,181,585,"con",21,0.58539,29.6795,0.23204,341.742
"4",1,181,585,"dry",21,0.63885,30.1570,0.26568,372.776
"5",1,197,385,"con",17,0.77852,32.7440,0.74640,296.982
"6",1,197,385,"dry",17,0.75019,32.7659,0.65793,286.114
"7",1,197,585,"con",21,0.77325,41.7685,0.67339,396.059
"8",1,197,585,"dry",21,0.74807,39.4139,0.56437,381.638
"9",1,208,385,"con",17,0.83353,28.7731,0.88895,319.735
"10",1,208,385,"dry",17,0.81614,28.9644,0.80163,313.024
"11",1,208,585,"con",21,0.81122,35.2273,0.66197,470.228
"12",1,208,585,"dry",21,0.73847,32.8426,0.49257,429.398
"13",1,224,385,"con",17,0.80285,32.7022,0.84218,304.261
"14",1,224,385,"dry",17,0.80294,29.5611,0.76266,305.925
"15",1,224,585,"con",21,0.77451,37.9441,0.59021,446.118
"16",1,224,585,"dry",21,0.63936,30.9920,0.28782,370.931
"17",1,237,385,"con",17,0.67569,24.5001,0.38710,260.997
"18",1,237,385,"dry",17,0.64364,20.7882,0.30712,249.823
"19",1,237,585,"con",21,0.59465,25.6544,0.20925,348.266
"20",1,237,585,"dry",21,0.51063,20.0161,0.12375,300.575
"21",1,246,385,"con",17,0.68191,14.1736,0.22558,267.450
"22",1,246,385,"dry",17,0.69427,10.0444,0.17734,273.867
"23",1,246,585,"con",21,0.66157,16.0600,0.17698,391.221
"24",1,246,585,"dry",21,0.67038,9.9528,0.09099,398.796
"25",2,181,385,"con",24,0.61102,23.0601,0.28032,236.456
"26",2,181,385,"dry",24,0.63405,21.5904,0.27096,245.837
"27",2,181,585,"con",20,0.54421,27.9638,0.18626,318.186
"28",2,181,585,"dry",20,0.55191,25.8874,0.17879,323.225
"29",2,197,385,"con",24,0.77749,32.4707,0.75802,294.523
"30",2,197,385,"dry",24,0.77514,32.8959,0.74099,294.177
"31",2,197,585,"con",20,0.74006,39.5117,0.50679,426.102
"32",2,197,585,"dry",20,0.69582,41.5124,0.44966,399.273
"33",2,208,385,"con",24,0.81552,31.7489,0.88284,311.262
"34",2,208,385,"dry",24,0.79749,28.6839,0.73385,305.961
"35",2,208,585,"con",20,0.83134,37.8662,0.77418,480.801
"36",2,208,585,"dry",20,0.78967,37.1276,0.60197,457.074
"37",2,224,385,"con",24,0.79115,32.9269,0.79918,300.473
"38",2,224,385,"dry",24,0.77642,28.3189,0.66065,297.410
"39",2,224,585,"con",20,0.77715,39.4314,0.61179,448.786
"40",2,224,585,"dry",20,0.74886,38.0331,0.54814,431.951
"41",2,237,385,"con",24,0.65357,24.2101,0.34748,252.269
"42",2,237,385,"dry",24,0.62409,18.4077,0.23891,243.004
"43",2,237,585,"con",20,0.61376,26.8048,0.24431,359.072
"44",2,237,585,"dry",20,0.56252,22.3836,0.16610,330.599
"45",2,246,385,"con",24,0.70244,14.6432,0.24778,275.287
"46",2,246,385,"dry",24,0.69251,8.2041,0.12919,273.709
"47",2,246,585,"con",20,0.67803,18.1025,0.20269,400.075
"48",2,246,585,"dry",20,0.68882,14.2132,0.16380,407.823
"49",3,181,385,"con",25,0.61075,26.6023,0.31169,235.286
"50",3,181,385,"dry",25,0.59039,25.9140,0.29189,227.673
"51",3,181,585,"con",29,0.48615,28.2118,0.16997,284.067
"52",3,181,585,"dry",29,0.50685,25.3622,0.16109,296.841
"53",3,197,385,"con",25,0.78473,33.8529,0.81192,297.484
"54",3,197,385,"dry",25,0.76802,29.7253,0.70718,292.933
"55",3,197,585,"con",29,0.74508,39.9910,0.54195,428.778
"56",3,197,585,"dry",29,0.74084,42.2040,0.53640,425.178
"57",3,208,385,"con",25,0.82203,30.2328,0.85416,314.506
"58",3,208,385,"dry",25,0.81472,29.6101,0.82180,311.971
"59",3,208,585,"con",29,0.81786,33.8174,0.62989,474.532
"60",3,208,585,"dry",29,0.65891,31.8155,0.32370,383.520
"61",3,224,385,"con",25,0.77853,31.8872,0.79372,295.980
"62",3,224,385,"dry",25,0.76302,26.5766,0.61795,292.385
"63",3,224,585,"con",29,0.73212,33.6549,0.48682,423.367
"64",3,224,585,"dry",29,0.62182,27.3420,0.25546,362.464
"65",3,237,385,"con",25,0.64014,23.9684,0.33166,247.455
"66",3,237,385,"dry",25,0.63633,17.4801,0.23743,248.330
"67",3,237,585,"con",29,0.60164,22.6320,0.19293,353.297
"68",3,237,585,"dry",29,0.54303,14.3662,0.10016,321.262
"69",3,246,385,"con",25,0.71963,11.6037,0.22591,283.040
"70",3,246,385,"dry",25,0.70235,8.5947,0.16078,277.460
"71",3,246,585,"con",29,0.65361,14.1067,0.15576,386.946
"72",3,246,585,"dry",29,0.65184,7.3427,0.07258,388.258
"73",4,181,385,"con",32,0.60064,25.6942,0.30477,231.210
"74",4,181,385,"dry",32,0.63295,25.3873,0.32648,244.116
"75",4,181,585,"con",28,0.44627,24.9968,0.13803,260.854
"76",4,181,585,"dry",28,0.45210,18.5787,0.09886,266.527
"77",4,197,385,"con",32,0.72148,33.6880,0.61544,273.769
"78",4,197,385,"dry",32,0.70292,31.0632,0.51167,268.193
"79",4,197,585,"con",28,0.73550,38.6510,0.52376,423.432
"80",4,197,585,"dry",28,0.70556,35.5755,0.45053,407.513
"81",4,208,385,"con",32,0.83603,29.7301,0.94850,320.221
"82",4,208,385,"dry",32,0.82330,28.6792,0.82759,315.863
"83",4,208,585,"con",28,0.81738,34.4022,0.68763,473.812
"84",4,208,585,"dry",28,0.83302,34.3914,0.72943,483.065
"85",4,224,385,"con",32,0.78852,30.9334,0.76115,300.524
"86",4,224,385,"dry",32,0.75604,28.0917,0.60874,289.394
"87",4,224,585,"con",28,0.80089,39.9308,0.69658,460.512
"88",4,224,585,"dry",28,0.80723,38.1935,0.69445,464.852
"89",4,237,385,"con",32,0.64802,22.5335,0.31303,251.301
"90",4,237,385,"dry",32,0.60135,16.0409,0.18211,235.044
"91",4,237,585,"con",28,0.64530,25.6844,0.29251,377.486
"92",4,237,585,"dry",28,0.63986,27.5517,0.27657,373.959
"93",4,246,385,"con",32,0.73375,9.7115,0.23998,289.223
