Obs,block,DOY,CO2,h2o,ring,cica,Photo,Cond,Ci
1,1,200,385,con,1,0.75835,33.4749,0.70126,289.302
2,1,200,385,dry,1,0.77587,33.1482,0.75379,295.77
3,1,200,585,con,5,0.7627,40.0716,0.56688,440.335
4,1,200,585,dry,5,0.75937,40.7077,0.57441,437.855
5,1,214,385,con,1,0.67783,26.8441,0.47244,261.332
6,1,214,385,dry,1,0.71436,28.7051,0.52854,275.07
7,1,214,585,con,5,0.69991,35.4459,0.43055,406.99
8,1,214,585,dry,5,0.65466,29.3577,0.39126,381.361
9,1,228,385,con,1,0.60922,21.8735,0.27832,236.173
10,1,228,385,dry,1,0.51605,15.688,0.17549,201.868
11,1,228,585,con,5,0.52486,24.7015,0.18515,307.487
12,1,228,585,dry,5,0.53403,22.9398,0.18539,313.369
13,1,242,385,con,1,0.55888,19.4391,0.23638,216.838
14,1,242,385,dry,1,0.58581,18.1724,0.23246,227.904
15,1,242,585,con,5,0.56582,24.8512,0.2013,331.363
16,1,242,585,dry,5,0.56232,22.5875,0.19691,330.097
17,1,251,385,con,1,0.60523,11.4053,0.15043,238.14
18,1,251,385,dry,1,0.5557,9.6701,0.12901,219.254
19,1,251,585,con,5,0.68978,14.2964,0.16058,408.361
20,1,251,585,dry,5,0.67045,12.3684,0.13868,397.532
21,2,200,385,con,4,0.77178,31.7912,0.71035,292.406
22,2,200,385,dry,4,0.76021,32.5605,0.66654,287.783
23,2,200,585,con,3,0.79614,37.6497,0.652,457.611
24,2,200,585,dry,3,0.80305,40.8479,0.73988,459.774
25,2,214,385,con,4,0.71079,27.1837,0.48269,273.562
26,2,214,385,dry,4,0.68588,27.3646,0.50695,263.918
27,2,214,585,con,3,0.66679,31.8833,0.34705,388.826
28,2,214,585,dry,3,0.58018,27.311,0.24588,339.875
29,2,228,385,con,4,0.67271,20.9371,0.3449,261.356
30,2,228,385,dry,4,0.58124,18.1032,0.24606,226.733
31,2,228,585,con,3,0.59504,22.4508,0.19424,349.575
32,2,228,585,dry,3,0.57644,20.1152,0.17884,339.181
33,2,242,385,con,4,0.71945,21.3112,0.33728,278.4
34,2,242,385,dry,4,0.67467,16.2648,0.2783,262.971
35,2,242,585,con,3,0.59094,22.0915,0.20145,346.961
36,2,242,585,dry,3,0.5568,19.1753,0.19584,318.058
37,2,251,385,con,4,0.76757,10.8289,0.24292,302.553
38,2,251,385,dry,4,0.76414,8.1778,0.16698,302.221
39,2,251,585,con,3,0.75116,14.5526,0.24581,444.788
40,2,251,585,dry,3,0.65798,11.4106,0.15135,390.893
41,3,200,385,con,10,0.80631,32.0517,0.76668,308.094
42,3,200,385,dry,10,0.80393,33.1738,0.78679,306.844
43,3,200,585,con,14,0.80409,39.7388,0.60896,464.029
44,3,200,585,dry,14,0.81209,40.5315,0.62056,468.161
45,3,214,385,con,10,0.69719,25.7752,0.47819,267.247
46,3,214,385,dry,10,0.72985,28.9023,0.57872,279.092
47,3,214,585,con,14,0.58084,34.9659,0.26765,336.346
48,3,214,585,dry,14,0.52663,27.7224,0.21223,306.723
49,3,228,385,con,10,0.63725,20.1987,0.29554,247.485
50,3,228,385,dry,10,0.69703,20.8284,0.34593,270.177
51,3,228,585,con,14,0.56824,25.1363,0.1795,333.126
52,3,228,585,dry,14,0.57557,21.8769,0.18047,338.352
53,3,242,385,con,10,0.63462,19.9405,0.32398,245.151
54,3,242,385,dry,10,0.50699,15.6479,0.16964,197.29
55,3,242,585,con,14,0.55155,22.1897,0.18511,323.724
56,3,242,585,dry,14,0.55674,21.254,0.16472,326.886
57,3,251,385,con,10,0.59476,12.3547,0.1445,233.555
58,3,251,385,dry,10,0.69104,11.2767,0.16663,271.889
59,3,251,585,con,14,0.62668,14.638,0.11937,371.071
60,3,251,585,dry,14,0.64885,11.8841,0.09726,385.411
61,4,200,385,con,11,0.77672,32.8711,0.65898,296.649
62,4,200,385,dry,11,0.77163,29.3999,0.65527,296.047
63,4,200,585,con,15,0.76753,40.7692,0.54134,442.791
64,4,200,585,dry,15,0.77424,40.1736,0.59962,446.768
65,4,214,385,con,11,0.76572,28.4597,0.69043,291.093
66,4,214,385,dry,11,0.76328,30.5699,0.69864,289.953
67,4,214,585,con,15,0.60199,31.5648,0.31812,348.401
68,4,214,585,dry,15,0.58879,31.6353,0.27621,341.313
69,4,228,385,con,11,0.62822,18.5306,0.24067,244.65
70,4,228,385,dry,11,0.61329,19.8122,0.24049,238.532
71,4,228,585,con,15,0.56501,24.3241,0.16984,331.466
72,4,228,585,dry,15,0.53193,21.0161,0.13966,312.983
73,4,242,385,con,11,0.54107,19.2763,0.25569,209.369
74,4,242,385,dry,11,0.38639,14.1632,0.1181,150.941
75,4,242,585,con,15,0.55819,22.5464,0.18025,326.706
76,4,242,585,dry,15,0.4762,18.028,0.12346,280.083
77,4,251,385,con,11,0.79885,11.2843,0.19897,314.284
78,4,251,385,dry,11,0.6155,8.7193,0.0716,243.968
79,4,251,585,con,15,0.78903,12.0439,0.12335,468.503
80,4,251,585,dry,15,0.78936,5.7952,0.10677,471.014
