"Obs","CO2","ring","block","doy","true_ten","true_twenty","true_thirty","true_forty","true_fifty","true_sixty","true_seventy","start_ten","start_twenty","start_thirty","start_forty","start_fifty","start_sixty","start_seventy"
"1",370,17,1,176,34.8162,42.4614,42.4612,44.3636,43.5558,42.5485,41.9590,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"2",550,21,1,176,35.0776,39.9609,39.1529,39.8773,42.7686,44.4157,44.0093,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"3",370,17,1,182,28.4682,37.3808,41.9319,44.2606,43.2970,42.2847,41.7363,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"4",550,21,1,182,31.2886,37.3552,37.8329,38.9943,42.1951,43.7949,43.4238,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"5",370,17,1,190,38.0060,41.3051,41.5650,43.6504,42.7882,42.0055,41.4032,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"6",550,21,1,190,38.5204,39.4742,38.3705,38.8602,41.8604,43.5337,43.3391,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"7",370,17,1,194,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"8",550,21,1,194,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"9",370,17,1,197,37.8545,41.9176,41.9193,44.1220,43.0981,42.3528,41.7361,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"10",550,21,1,197,38.0353,39.7136,38.9016,39.4280,42.1950,44.0257,43.7461,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"11",370,17,1,202,33.8572,41.1423,41.8085,43.8269,42.9025,42.0475,41.6955,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"12",550,21,1,202,36.4282,39.2307,38.5955,39.2343,41.9807,43.7319,43.4547,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"13",370,17,1,205,29.8606,39.0526,41.7285,43.7118,42.7687,41.7626,41.3729,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"14",550,21,1,205,33.8548,38.2638,38.0384,38.9276,41.9101,43.6590,43.4231,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"15",370,17,1,209,26.5607,34.0488,39.6997,43.0677,42.0142,40.9807,40.7334,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"16",550,21,1,209,29.5573,35.1899,36.9395,37.7900,41.0236,42.9423,42.8546,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"17",370,17,1,216,25.6184,29.7234,37.8155,41.6450,42.3669,41.3126,39.9146,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"18",550,21,1,216,27.2297,31.3497,35.5672,37.1008,40.9436,42.8802,43.4415,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"19",370,17,1,222,22.6907,27.1568,33.0993,37.3941,38.9269,39.0784,38.8346,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"20",550,21,1,222,25.1696,28.4442,32.7236,34.4878,39.0730,41.6373,41.2683,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"21",370,17,1,230,16.3977,22.0410,29.7782,34.4043,39.4469,40.2681,38.5146,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"22",550,21,1,230,24.9967,27.0561,31.4453,33.5297,38.2549,41.2751,41.0391,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"23",370,17,1,236,19.3058,25.4087,31.6468,34.8484,39.3698,40.2488,38.4291,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"24",550,21,1,236,24.0708,24.8050,30.1215,32.0667,37.3869,41.0652,42.1951,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
"25",370,17,1,240,37.4579,41.7631,42.3872,44.0781,42.9937,42.1727,40.6241,39.4402,42.2969,42.2257,44.2050,43.4192,42.4955,41.7969
"26",550,21,1,240,37.5743,37.6096,38.7916,38.7151,41.6754,43.1180,43.6065,38.7232,39.9565,38.8923,39.5056,42.1856,43.9101,43.7040
