Obs,ring,doy,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,17,165,370,1,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
2,21,165,550,1,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
3,17,167,370,1,26.8057,44.2412,43.4408,45.0744,45.0968,43.5244,43.4331,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
4,21,167,550,1,32.2469,41.7043,40.6732,41.0433,42.6302,45.3425,45.7531,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
5,17,172,370,1,27.2948,42.8872,42.8652,44.5193,44.4854,42.6162,42.7755,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
6,21,172,550,1,33.6042,40.9475,39.7649,40.1108,41.9878,44.9485,45.4752,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
7,17,174,370,1,23.172,39.4051,42.9121,44.7513,44.9026,43.0516,43.0094,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
8,21,174,550,1,30.8683,39.9656,39.4957,39.9847,42.1569,45.2012,45.6875,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
9,17,177,370,1,20.7235,33.6809,41.2918,44.2687,44.5366,42.7169,42.6464,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
10,21,177,550,1,28.5339,38.0657,38.4297,39.2582,41.6093,44.5725,45.0951,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
11,17,179,370,1,20.9405,31.7638,39.7057,43.4667,44.0182,42.3034,42.4636,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
12,21,179,550,1,28.6385,37.6809,38.1828,38.9162,41.43,44.5309,45.1493,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
13,17,184,370,1,19.206,27.2858,34.3725,38.5153,42.2302,41.0037,41.556,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
14,21,184,550,1,25.4249,33.7448,36.3102,37.5704,40.5712,44.2528,45.0421,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
15,17,187,370,1,28.5231,38.1546,40.5083,42.0262,43.1216,41.2671,41.0883,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
16,21,187,550,1,33.6827,38.2158,36.4773,37.284,40.307,44.1491,45.1481,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
17,17,189,370,1,23.8678,34.2848,38.9901,40.8268,42.3641,40.8054,40.5898,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
18,21,189,550,1,28.2352,35.2677,35.7609,36.6572,39.746,43.6538,44.8036,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
19,17,194,370,1,40.6329,45.6282,43.299,44.9541,44.7654,43.3041,43.3959,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
20,21,194,550,1,41.2624,42.5598,40.1138,39.0594,40.8777,44.3048,45.432,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
21,17,198,370,1,34.6289,44.8771,43.0431,44.7394,44.745,43.0897,42.83,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
22,21,198,550,1,34.2204,41.2443,39.4008,39.0213,40.838,44.2218,45.0224,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
23,17,200,370,1,29.57,43.4842,42.7107,44.5844,44.4222,42.881,42.3079,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
24,21,200,550,1,31.4199,40.2735,38.92,38.9453,41.2709,44.4447,44.9511,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
25,17,202,370,1,38.2023,44.554,42.5599,44.2828,44.2562,42.6176,42.0678,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
26,21,202,550,1,37.3107,39.8419,38.3559,38.4076,40.3079,43.6002,44.6022,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
27,17,206,370,1,33.4903,44.0392,42.6284,44.1169,44.1034,42.1449,41.7697,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
