Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,1,163,370,1,28.9233,40.9351,41.2932,42.987,44.2358,45.2954,44.7555,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
2,5,163,550,1,27.676,45.9071,43.4272,43.0169,42.7391,43.623,43.5992,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
3,1,166,370,1,26.8098,40.4402,41.0766,42.5351,43.7503,44.9432,44.5192,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
4,5,166,550,1,23.556,43.3575,43.2887,43.0632,42.767,43.6326,43.4413,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
5,1,170,370,1,27.3578,39.5609,41.1908,42.7885,44.6288,46.0457,45.0685,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
6,5,170,550,1,22.5094,38.5078,42.9318,43.1642,42.8803,43.7647,43.6539,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
7,1,171,370,1,25.3877,38.4636,40.3805,42.3804,43.8028,45.6137,45.0344,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
8,5,171,550,1,23.3587,37.6296,42.7157,43.1035,42.7305,43.6484,43.6003,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
9,1,173,370,1,34.6004,39.9514,40.7241,42.6049,43.982,45.3467,44.7369,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
10,5,173,550,1,35.1193,41.3199,42.7208,42.8823,42.772,43.6699,43.6237,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
11,1,176,370,1,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
12,5,176,550,1,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
13,1,178,370,1,40.124,43.6607,42.7419,43.9455,44.8164,45.6876,44.9636,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
14,5,178,550,1,41.5716,47.245,44.8022,43.8823,43.7078,44.3606,44.9852,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
15,1,180,370,1,39.46,43.7034,41.9003,43.4985,44.3332,45.5386,45.0488,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
16,5,180,550,1,42.9661,46.5363,43.5142,43.1698,42.9138,43.7156,43.813,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
17,1,183,370,1,34.7067,42.3732,41.5817,43.1092,44.1237,45.172,44.6732,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
18,5,183,550,1,39.4357,46.1651,43.3472,42.9545,42.7191,43.5808,43.6085,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
19,1,187,370,1,30.7802,40.8571,41.2363,42.9466,44.2074,45.3196,45.0385,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
20,5,187,550,1,31.837,43.258,42.6376,42.4083,42.2269,43.4699,43.7715,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
21,1,190,370,1,27.6568,39.0026,40.3918,42.3019,43.4939,44.7623,44.4634,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
22,1,192,370,1,23.7074,34.3304,38.6235,41.3935,42.586,44.3985,44.5444,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
23,5,192,550,1,23.9,34.7203,40.0336,40.9488,41.1503,42.695,43.0947,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
24,1,194,370,1,23.6899,34.3311,37.3803,40.1679,41.727,43.799,43.9897,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
25,5,194,550,1,22.466,31.7574,37.5542,39.8954,40.4568,42.06,42.929,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
26,1,197,370,1,22.3315,32.6463,35.4748,38.0486,39.4391,42.7059,43.1586,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
27,5,197,550,1,20.9032,29.4819,34.8144,37.2552,38.599,40.5444,41.9848,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
28,1,199,370,1,39.5612,42.6551,39.6143,40.025,40.7786,43.2993,43.4639,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
29,5,199,550,1,42.5415,45.5124,43.3274,42.9033,42.021,41.901,42.1346,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
30,1,201,370,1,38.0403,41.9982,39.8733,40.0536,40.4731,42.939,43.1289,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
31,5,201,550,1,41.449,44.9969,42.9283,42.4337,41.6349,41.7621,41.9343,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
32,1,204,370,1,33.0503,40.2923,39.3966,39.7746,40.1377,42.8416,42.9771,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
33,5,204,550,1,38.1595,44.4921,42.7226,42.0926,41.2875,41.5652,41.8351,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
34,1,211,370,1,34.5465,41.4998,40.495,40.8188,40.3398,42.7881,42.6949,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
35,5,211,550,1,38.6557,45.3994,43.6611,43.442,42.5671,42.7631,42.6423,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
36,1,213,370,1,30.6047,40.3078,40.4472,40.9065,40.4817,42.872,42.8674,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
37,5,213,550,1,34.5879,44.6259,43.1168,42.633,41.5546,41.9556,42.1634,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
38,1,215,370,1,27.4775,38.1249,39.8548,40.4676,40.3251,42.7877,42.7472,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
39,5,215,550,1,30.6943,41.7618,42.8243,42.4314,41.2569,41.6955,41.9558,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
40,1,218,370,1,26.2729,35.912,38.8498,40.1381,40.1982,42.7172,42.7969,38.9853,43.6677,41.9977,43.7105,44.5786,45.6515,45.1131
41,5,218,550,1,27.9642,38.2856,42.6294,42.4607,41.1992,41.6159,41.8073,43.6585,46.7863,43.6176,43.3931,43.0993,43.7932,43.8308
