year,Cultivar,P-PET (mm),seed yield CO2 response
2004,Dwight,-1.703,1.2284
2005,Dwight,-2.726,1.1011
2006,Dwight,-1.92,1.2461
2007,Dwight,-3.087,1.1973
2008,Dwight,-2.492,1.1655
2004,HS93-4118,-1.703,1.0704
2005,HS93-4118,-2.726,0.8299
2006,HS93-4118,-1.92,1.1496
2007,HS93-4118,-3.087,0.9458
2008,HS93-4118,-2.492,1.1791
2004,IA3010,-1.703,1.2759
2005,IA3010,-2.726,1.1353
2006,IA3010,-1.92,1.198
2007,IA3010,-3.087,0.8713
2008,IA3010,-2.492,1.1969
2004,LN97-15076,-1.703,1.2079
2005,LN97-15076,-2.726,0.9985
2006,LN97-15076,-1.92,1.248
2007,LN97-15076,-3.087,1.0564
2008,LN97-15076,-2.492,1.157
2004,Loda,-1.703,1.367
2005,Loda,-2.726,0.9962
2006,Loda,-1.92,1.3765
2007,Loda,-3.087,1.3009
2008,Loda,-2.492,1.2366
2004,Pana,-1.703,1.2118
2005,Pana,-2.726,1.1497
2006,Pana,-1.92,1.0054
2007,Pana,-3.087,1.099
2008,Pana,-2.492,1.1148
2002,93B15,-1.6925,1.1536
2003,93B15,.,.
2004,93B15,-1.7035,1.1713
2005,93B15,-2.7264,1.0666
2006,93B15,-1.9202,1.1096
2007,93B15,-3.0867,1.0416
2008,93B15,-2.4919,1.3159
2009,93B15,.,.
2010,93B15,.,.
2011,93B15,-2.6308,1.3037
2009-RP treatment,93B15,.,.
2010-RP treatment,93B15,-1.6764,1.244
2011-RP treatment,93B15,-3.3558,0.9474
