Obs,block,ring,CO2,h2o,DOY,year,xylem_ABA,CO2_num,Ci,CO2xyl,pH,logABA_corr,VWCthru75,CO2_VWC75,logxyl
1,1,1,AC,con,189,2009,.,0,.,.,.,.,41.8806,0,.
2,1,1,AC,dry,189,2009,.,0,.,.,.,.,39.2697,0,.
5,2,4,AC,con,189,2009,.,0,.,.,.,.,41.942,0,.
6,2,4,AC,dry,189,2009,.,0,.,.,.,.,40.6906,0,.
9,3,10,AC,con,189,2009,.,0,.,.,.,.,41.4579,0,.
10,3,10,AC,dry,189,2009,.,0,.,.,.,.,39.3066,0,.
11,4,11,AC,con,189,2009,.,0,.,.,.,.,40.8909,0,.
12,4,11,AC,dry,189,2009,.,0,.,.,.,.,40.4851,0,.
17,1,1,AC,con,197,2009,0.1108,0,302.701,0,6.07,.,42.1109,0,-0.95546
18,1,1,AC,dry,197,2009,0.11471,0,282.806,0,6.12467,3.11917,39.743,0,-0.94039
21,2,4,AC,con,197,2009,0.15225,0,310.883,0,6.024,2.90179,42.7437,0,-0.81744
22,2,4,AC,dry,197,2009,0.17773,0,293.695,0,6.035,3.32159,37.295,0,-0.75024
25,3,10,AC,con,197,2009,0.04861,0,301.634,0,5.90033,3.05106,41.8313,0,-1.31328
26,3,10,AC,dry,197,2009,0.11238,0,302.999,0,6.12167,2.98466,39.8999,0,-0.94933
27,4,11,AC,con,197,2009,0.08893,0,299.039,0,6.005,3.27213,41.0031,0,-1.05096
28,4,11,AC,dry,197,2009,0.14179,0,304.697,0,5.926,.,38.4573,0,-0.84836
33,1,1,AC,con,203,2009,.,0,.,.,.,.,38.1149,0,.
34,1,1,AC,dry,203,2009,.,0,.,.,.,.,37.7153,0,.
37,2,4,AC,con,203,2009,.,0,.,.,.,.,37.8383,0,.
38,2,4,AC,dry,203,2009,.,0,.,.,.,.,33.8118,0,.
41,3,10,AC,con,203,2009,.,0,.,.,.,.,39.6191,0,.
42,3,10,AC,dry,203,2009,.,0,.,.,.,.,37.7321,0,.
43,4,11,AC,con,203,2009,.,0,.,.,.,.,38.269,0,.
44,4,11,AC,dry,203,2009,.,0,.,.,.,.,36.219,0,.
49,1,1,AC,con,210,2009,0.04162,0,309.391,0,5.59333,3.05242,40.9312,0,-1.38069
50,1,1,AC,dry,210,2009,0.0709,0,306.498,0,5.7788,3.24575,35.0358,0,-1.14936
53,2,4,AC,con,210,2009,0.09377,0,303.157,0,6.08333,2.99969,38.8168,0,-1.02792
54,2,4,AC,dry,210,2009,0.1299,0,301.085,0,5.852,3.2101,35.2248,0,-0.8864
57,3,10,AC,con,210,2009,0.07384,0,291.634,0,5.781,3.19566,39.89,0,-1.13168
58,3,10,AC,dry,210,2009,0.11338,0,301.97,0,5.83833,3.28114,37.1659,0,-0.94546
59,4,11,AC,con,210,2009,0.1928,0,305.282,0,6.16933,3.18752,39.7729,0,-0.71489
60,4,11,AC,dry,210,2009,0.09758,0,297.42,0,5.69,3.37152,33.8026,0,-1.01063
65,1,1,AC,con,224,2009,0.05397,0,294.237,0,5.891,3.25178,35.6146,0,-1.26787
66,1,1,AC,dry,224,2009,0.06366,0,290.605,0,5.789,3.3828,33.4628,0,-1.19612
69,2,4,AC,con,224,2009,0.12318,0,266.517,0,6.01967,3.23006,35.1749,0,-0.90946
70,2,4,AC,dry,224,2009,0.12252,0,257.658,0,5.87433,3.41995,29.5561,0,-0.91178
73,3,10,AC,con,224,2009,0.12983,0,283.983,0,6.20833,3.25056,35.0407,0,-0.88661
74,3,10,AC,dry,224,2009,0.10646,0,305.034,0,5.879,3.27487,34.7246,0,-0.97282
75,4,11,AC,con,224,2009,0.14301,0,275.929,0,6.14667,3.18385,37.1489,0,-0.84465
76,4,11,AC,dry,224,2009,0.1095,0,286.739,0,6.002,3.22661,34.6554,0,-0.9606
81,1,1,AC,con,238,2009,0.08526,0,289.927,0,6.184,3.04568,41.2529,0,-1.06925
82,1,1,AC,dry,238,2009,0.09535,0,314.009,0,5.81167,3.12026,32.6274,0,-1.02067
85,2,4,AC,con,238,2009,0.05672,0,284.701,0,6.15233,3.13622,41.638,0,-1.24623
86,2,4,AC,dry,238,2009,0.17257,0,241.553,0,5.93867,3.236,31.9527,0,-0.76304
89,3,10,AC,con,238,2009,0.11103,0,291.71,0,6.0845,3.17349,38.36,0,-0.95454
90,3,10,AC,dry,238,2009,0.12401,0,289.571,0,5.9295,3.38812,35.7889,0,-0.90653
91,4,11,AC,con,238,2009,0.09909,0,258.413,0,5.96933,3.28939,40.4987,0,-1.00395
92,4,11,AC,dry,238,2009,0.16707,0,280.986,0,5.874,3.36581,32.9724,0,-0.77711
97,1,1,AC,con,252,2009,0.02036,0,291.367,0,6.04433,3.11894,38.7823,0,-1.69121
98,1,1,AC,dry,252,2009,0.05142,0,316.167,0,6.11467,3.0493,29.0942,0,-1.28889
101,2,4,AC,con,252,2009,0.0551,0,297.723,0,6.04767,3.3261,36.4799,0,-1.25881
102,2,4,AC,dry,252,2009,0.03938,0,312.631,0,5.92067,3.29679,29.8611,0,-1.40472
105,3,10,AC,con,252,2009,.,0,321.402,.,5.97233,3.21955,.,.,.
106,3,10,AC,dry,252,2009,0.06511,0,322.581,0,5.62633,3.25626,33.9236,0,-1.18635
107,4,11,AC,con,252,2009,0.04105,0,330.051,0,5.78767,3.1615,38.8992,0,-1.38667
108,4,11,AC,dry,252,2009,0.10808,0,334.552,0,5.7395,3.29716,31.8252,0,-0.96627
113,1,17,AC,con,181,2010,.,0,.,.,.,.,39.8519,0,.
114,1,17,AC,dry,181,2010,.,0,.,.,.,.,38.1842,0,.
119,2,24,AC,con,181,2010,.,0,.,.,.,.,39.2392,0,.
120,2,24,AC,dry,181,2010,.,0,.,.,.,.,39.5027,0,.
121,3,25,AC,con,181,2010,.,0,.,.,.,.,38.4183,0,.
122,3,25,AC,dry,181,2010,.,0,.,.,.,.,40.695,0,.
127,4,32,AC,con,181,2010,.,0,.,.,.,.,39.4343,0,.
128,4,32,AC,dry,181,2010,.,0,.,.,.,.,40.2907,0,.
129,1,17,AC,con,197,2010,.,0,304.119,.,6.118,3.45983,33.7209,0,.
130,1,17,AC,dry,197,2010,0.15241,0,301.503,0,6.07267,3.44299,28.0528,0,-0.81698
135,2,24,AC,con,197,2010,0.09012,0,288.675,0,5.782,3.32562,32.4199,0,-1.04519
136,2,24,AC,dry,197,2010,0.07327,0,277.272,0,5.87167,3.48952,32.892,0,-1.1351
137,3,25,AC,con,197,2010,.,0,273.86,.,5.8615,3.36483,31.6953,0,.
138,3,25,AC,dry,197,2010,.,0,271.47,.,5.96,3.50732,32.2735,0,.
143,4,32,AC,con,197,2010,.,0,270.67,.,5.90433,3.371,36.361,0,.
