DOY,block,ring,CO2,subplot,WPcorrect,OPcorrect,turgorcorrect
197,1,1,ambient,control,-2.0903,-2.54345,0.45315
197,1,1,ambient,dry,-1.94895,-2.4879,0.53894
197,1,5,elevate,control,-2.25695,-2.60594,0.34899
197,1,5,elevate,dry,-2.37746,-2.61552,0.37828
197,2,3,elevate,control,.,-2.0054,.
197,2,3,elevate,dry,-1.32892,-1.69471,0.42448
197,2,4,ambient,control,-1.34102,-1.93574,0.59472
197,2,4,ambient,dry,.,-1.52246,.
197,3,10,ambient,control,-1.16786,-1.5406,0.37274
197,3,10,ambient,dry,-1.11164,-1.51663,0.40499
197,3,14,elevate,control,-1.19362,-1.84434,0.65072
197,3,14,elevate,dry,-1.44473,-2.09746,0.65274
197,4,11,ambient,control,-1.08448,-1.65036,0.56588
197,4,11,ambient,dry,-1.24178,-1.6517,0.40992
197,4,15,elevate,control,-1.01801,-1.66649,0.64848
197,4,15,elevate,dry,-1.24212,-1.77048,0.52836
210,1,1,ambient,control,-1.11164,-1.65014,0.5385
210,1,1,ambient,dry,-0.97007,-1.45705,0.48698
210,1,5,elevate,control,-1.23148,-1.69673,0.46525
210,1,5,elevate,dry,-0.92729,-1.67545,0.74816
210,2,3,elevate,control,-0.9974,-1.74388,0.78456
210,2,3,elevate,dry,-1.22924,-1.80128,0.52005
210,2,4,ambient,control,-1.06102,-1.75094,0.68992
210,2,4,ambient,dry,-1.07714,-1.66783,0.59069
210,3,10,ambient,control,-1.04836,-1.79064,0.74228
210,3,10,ambient,dry,-0.71538,-1.40844,0.69306
210,3,14,elevate,control,-0.92953,-1.57151,0.64198
210,3,14,elevate,dry,-0.9806,-1.81612,0.86996
210,4,11,ambient,control,-1.10268,-1.8122,0.71092
210,4,11,ambient,dry,-1.27158,-1.79887,0.5273
210,4,15,elevate,control,-1.13964,-1.76572,0.62608
210,4,15,elevate,dry,-0.77676,-1.78849,0.95461
224,1,1,ambient,control,-1.15532,-1.89273,0.73741
224,1,1,ambient,dry,-0.96537,-1.4594,0.54488
224,1,5,elevate,control,-1.10402,-2.1967,0.93128
224,1,5,elevate,dry,-1.122,-2.10536,1.14165
224,2,3,elevate,control,-1.0263,-2.03721,0.84924
224,2,3,elevate,dry,-1.14664,-2.07708,0.90188
224,2,4,ambient,control,-1.30518,-1.80996,0.59332
224,2,4,ambient,dry,-1.32422,-2.2448,0.86744
224,3,10,ambient,control,-1.22504,-1.77972,0.55468
224,3,10,ambient,dry,-1.1645,-1.80044,0.63594
224,3,14,elevate,control,-0.9517,-1.79462,0.84291
224,3,14,elevate,dry,-1.08543,-1.84031,0.75488
224,4,11,ambient,control,-1.15823,-1.69516,0.53693
224,4,11,ambient,dry,-0.9871,-1.76841,0.78131
224,4,15,elevate,control,-1.06656,-1.92551,0.82843
224,4,15,elevate,dry,-1.26359,-1.91431,0.65072
238,1,1,ambient,control,-1.37394,-2.42372,1.13848
238,1,1,ambient,dry,-1.38358,-1.74018,0.35661
238,1,5,elevate,control,-1.47318,-2.3311,0.85792
238,1,5,elevate,dry,-1.36857,-1.91042,0.54186
238,2,3,elevate,control,-1.03055,-1.83807,0.80752
238,2,3,elevate,dry,-1.31408,-1.88752,0.57344
238,2,4,ambient,control,-1.47318,-2.20319,0.73002
238,2,4,ambient,dry,-1.53108,-1.33743,0.44912
238,3,10,ambient,control,-1.57286,-1.87458,0.51669
238,3,10,ambient,dry,-1.31145,-2.11785,0.8064
238,3,14,elevate,control,-1.43062,-2.46057,1.02995
238,3,14,elevate,dry,-1.33004,-2.44472,1.12084
238,4,11,ambient,control,-1.34393,-2.1333,0.78938
238,4,11,ambient,dry,-1.32444,-2.07327,0.74883
238,4,15,elevate,control,-1.46724,-2.05356,0.62235
238,4,15,elevate,dry,-1.27628,-2.31788,1.03992
252,1,1,ambient,control,-1.3138,-1.65372,0.47152
252,1,1,ambient,dry,-1.44361,-1.52761,0.15531
252,1,5,elevate,control,-1.37792,-2.16724,0.78932
252,1,5,elevate,dry,-1.34258,-1.91916,0.57658
252,2,3,elevate,control,-1.42188,-1.54508,0.26469
252,2,3,elevate,dry,-1.39612,-1.66417,0.27589
252,2,4,ambient,control,-1.35356,-1.67791,0.74107
252,2,4,ambient,dry,-1.14468,-1.93904,0.58053
252,3,10,ambient,control,-1.53836,-1.84785,0.30949
252,3,10,ambient,dry,-1.30988,-1.31772,0.19413
252,3,14,elevate,control,-1.41031,-1.7674,0.45696
252,3,14,elevate,dry,-1.28225,-1.50849,0.22624
252,4,11,ambient,control,-1.33698,-1.51081,0.17382
252,4,11,ambient,dry,-1.22857,-1.59548,0.36691
252,4,15,elevate,control,-1.26116,-1.79568,0.78699
252,4,15,elevate,dry,-1.55376,-1.52156,0.13403
