DOY,block,Ring,CO2,subplot,WPcorrect,OPcorrect,turgorcorrect
197,1,17,ambient,Control,-0.66378,-1.01178,0.34801
197,1,17,ambient,Dry,-0.60787,-0.86247,0.2546
197,1,21,elevate,Control,-0.59464,-1.03968,0.46435
197,1,21,elevate,Dry,-0.53907,-0.95855,0.41948
197,2,20,elevate,Control,-0.52518,-0.69486,0.20913
197,2,20,elevate,Dry,-0.52836,-0.80623,0.27787
197,2,24,ambient,Control,-0.47178,-0.94834,0.47657
197,2,24,ambient,Dry,-0.47658,-0.74485,0.26827
197,3,25,ambient,Control,-0.52791,-1.03946,0.51155
197,3,25,ambient,Dry,-0.60915,-0.66194,0.2406
197,3,29,elevate,Control,-0.42256,-0.98483,0.56227
197,3,29,elevate,Dry,-0.41386,-0.77989,0.36603
197,4,28,elevate,Control,-0.55012,-1.05798,0.50787
197,4,28,elevate,Dry,-0.39729,-1.07121,0.67392
197,4,32,ambient,Control,-0.62913,-0.98952,0.3604
197,4,32,ambient,Dry,-0.57991,-0.91915,0.33924
208,1,17,ambient,Control,-0.7587,-1.02693,0.26823
208,1,17,ambient,Dry,-0.55822,-1.06854,0.51031
208,1,21,elevate,Control,-0.80788,-1.10155,0.29367
208,1,21,elevate,Dry,-0.65078,-0.99154,0.34077
208,2,20,elevate,Control,-0.54555,-1.07666,0.53111
208,2,20,elevate,Dry,-0.55408,-1.27069,0.71661
208,2,24,ambient,Control,-0.53516,-0.9666,0.72361
208,2,24,ambient,Dry,-0.64021,-0.87487,0.23466
208,3,25,ambient,Control,-0.45762,-1.14141,0.6838
208,3,25,ambient,Dry,-0.56492,-1.18686,0.62194
208,3,29,elevate,Control,-0.63205,-1.12456,0.49251
208,3,29,elevate,Dry,-1.14235,-0.64173,0.34691
208,4,28,elevate,Control,-0.31178,-1.00358,0.6918
208,4,28,elevate,Dry,-0.54917,-0.90506,0.30505
208,4,32,ambient,Control,-0.40665,-0.93091,0.52426
208,4,32,ambient,Dry,-0.66699,-1.17389,0.45938
224,1,17,ambient,Control,-0.58136,-1.09744,0.51608
224,1,17,ambient,Dry,-0.57957,-1.40346,0.82389
224,1,21,elevate,Control,-0.67649,-1.32139,0.82207
224,1,21,elevate,Dry,-0.88679,-1.18769,0.30089
224,2,20,elevate,Control,-0.45066,-1.26048,0.80982
224,2,20,elevate,Dry,-0.43547,-1.29564,0.86017
224,2,24,ambient,Control,-0.47115,-1.38014,0.90898
224,2,24,ambient,Dry,-0.85799,-0.9019,0.24507
224,3,25,ambient,Control,-0.66506,-1.26696,0.60189
224,3,25,ambient,Dry,-0.69932,-1.2936,0.59428
224,3,29,elevate,Control,-0.46015,-1.43885,0.9787
224,3,29,elevate,Dry,-0.87829,-1.2443,0.36601
224,4,28,elevate,Control,-0.61898,-1.44395,0.82498
224,4,28,elevate,Dry,-0.75428,-1.18712,0.43284
224,4,32,ambient,Control,-0.80154,-0.90222,0.10068
224,4,32,ambient,Dry,-0.63106,-1.01935,0.38829
237,1,17,ambient,Control,-0.99956,-1.28544,0.28588
237,1,17,ambient,Dry,-0.78435,-1.165,0.38064
237,1,21,elevate,Control,-1.09364,-1.42005,0.32641
237,1,21,elevate,Dry,-0.90506,-0.40362,-0.46822
237,2,20,elevate,Control,-0.66194,-0.92307,0.02544
237,2,20,elevate,Dry,-0.585,-1.02454,0.43954
237,2,24,ambient,Control,-0.58544,-1.0592,0.47376
237,2,24,ambient,Dry,-0.77543,-0.90542,0.12632
237,3,25,ambient,Control,-0.89461,-1.27314,0.37736
237,3,25,ambient,Dry,.,-1.02504,.
237,3,29,elevate,Control,-0.96692,-1.41173,0.44481
237,3,29,elevate,Dry,-0.98701,-1.13206,0.17635
237,4,28,elevate,Control,-0.7848,-1.31879,0.53399
237,4,28,elevate,Dry,-0.57154,-1.04286,0.47131
237,4,32,ambient,Control,-0.88671,-1.11852,0.21029
237,4,32,ambient,Dry,-1.02618,-1.14915,0.12297
