block,ring,CO2,DOY,canopy_t
1,1,ambient,203,22.3206
1,1,ambient,204,24.8004
1,1,ambient,205,25.6096
1,1,ambient,206,23.3134
1,1,ambient,207,22.6168
1,1,ambient,208,23.9253
1,1,ambient,209,24.6014
1,1,ambient,210,21.9154
1,1,ambient,211,21.4569
1,1,ambient,212,21.9862
1,1,ambient,213,20.0254
1,1,ambient,214,20.6648
1,1,ambient,215,22.7567
1,1,ambient,216,22.0818
1,1,ambient,217,22.948
1,1,ambient,218,22.338
1,1,ambient,219,20.498
1,1,ambient,220,26.2199
1,1,ambient,221,27.1772
1,1,ambient,222,25.1852
1,1,ambient,223,24.7226
1,1,ambient,224,21.8061
1,1,ambient,225,22.6531
1,1,ambient,226,24.2738
1,1,ambient,227,24.6983
1,1,ambient,228,24.8013
1,1,ambient,229,25.3085
1,1,ambient,230,24.0777
1,1,ambient,231,23.1194
1,1,ambient,232,21.2105
1,1,ambient,233,19.4928
1,1,ambient,234,17.6824
1,1,ambient,235,19.0652
1,1,ambient,236,20.7959
1,1,ambient,237,22.0493
1,1,ambient,238,22.9324
1,1,ambient,239,24.8902
1,1,ambient,240,21.2891
1,1,ambient,241,18.7295
1,1,ambient,242,16.0398
1,1,ambient,243,16.1124
1,1,ambient,244,17.5357
1,1,ambient,245,19.0294
1,1,ambient,246,21.1259
1,1,ambient,247,20.5378
1,1,ambient,248,20.0557
1,1,ambient,249,21.2991
1,1,ambient,250,21.3661
1,1,ambient,251,21.5797
1,1,ambient,252,20.9927
1,1,ambient,253,22.8265
1,1,ambient,254,22.6361
1,1,ambient,255,21.8391
1,1,ambient,256,21.393
1,1,ambient,257,22.5533
1,1,ambient,258,23.5478
1,1,ambient,259,23.4409
1,1,ambient,260,20.7046
1,1,ambient,261,21.5912
1,1,ambient,262,23.2263
1,1,ambient,263,19.1447
1,5,elevated,203,.
1,5,elevated,204,.
1,5,elevated,205,.
1,5,elevated,206,23.9009
1,5,elevated,207,23.0537
1,5,elevated,208,24.1041
1,5,elevated,209,24.6626
1,5,elevated,210,22.2238
1,5,elevated,211,21.4735
1,5,elevated,212,22.3509
1,5,elevated,213,19.9796
1,5,elevated,214,20.9118
1,5,elevated,215,22.7893
1,5,elevated,216,21.4405
1,5,elevated,217,22.6685
1,5,elevated,218,21.9959
1,5,elevated,219,20.2813
1,5,elevated,220,26.1262
1,5,elevated,221,26.8974
1,5,elevated,222,25.1133
1,5,elevated,223,24.3171
1,5,elevated,224,21.6857
1,5,elevated,225,22.5017
1,5,elevated,226,24.0291
1,5,elevated,227,24.5424
1,5,elevated,228,24.473
1,5,elevated,229,24.8697
1,5,elevated,230,23.9614
1,5,elevated,231,22.5198
1,5,elevated,232,21.0375
1,5,elevated,233,19.2761
1,5,elevated,234,17.5887
1,5,elevated,235,18.817
1,5,elevated,236,20.5161
1,5,elevated,237,21.8563
1,5,elevated,238,22.8942
1,5,elevated,239,24.5196
1,5,elevated,240,20.9113
1,5,elevated,241,18.6512
1,5,elevated,242,15.7758
1,5,elevated,243,15.9891
1,5,elevated,244,17.5058
1,5,elevated,245,18.9338
1,5,elevated,246,20.9326
1,5,elevated,247,20.5122
1,5,elevated,248,19.6454
1,5,elevated,249,20.8373
1,5,elevated,250,21.148
1,5,elevated,251,21.2158
1,5,elevated,252,20.5167
1,5,elevated,253,22.2094
1,5,elevated,254,21.9716
1,5,elevated,255,21.2846
1,5,elevated,256,20.7448
1,5,elevated,257,21.7597
1,5,elevated,258,22.6908
1,5,elevated,259,22.4877
1,5,elevated,260,19.6191
1,5,elevated,261,20.4603
1,5,elevated,262,21.7481
1,5,elevated,263,18.4132
2,4,ambient,203,.
2,4,ambient,204,.
2,4,ambient,205,.
2,4,ambient,206,.
2,4,ambient,207,.
2,4,ambient,208,23.6448
2,4,ambient,209,24.3861
2,4,ambient,210,21.7876
2,4,ambient,211,21.4283
2,4,ambient,212,21.9121
2,4,ambient,213,20.1138
2,4,ambient,214,20.7498
2,4,ambient,215,22.7106
2,4,ambient,216,21.5745
2,4,ambient,217,23.0957
2,4,ambient,218,22.7229
2,4,ambient,219,20.6255
2,4,ambient,220,26.1072
2,4,ambient,221,.
2,4,ambient,222,.
2,4,ambient,223,.
2,4,ambient,224,.
2,4,ambient,225,22.0331
2,4,ambient,226,23.6291
2,4,ambient,227,24.4099
2,4,ambient,228,24.4995
2,4,ambient,229,24.7312
2,4,ambient,230,23.534
2,4,ambient,231,22.7975
2,4,ambient,232,20.5908
2,4,ambient,233,18.9652
2,4,ambient,234,17.3343
2,4,ambient,235,18.7397
2,4,ambient,236,20.0188
2,4,ambient,237,21.1672
2,4,ambient,238,22.2169
2,4,ambient,239,24.1598
2,4,ambient,240,21.0607
2,4,ambient,241,18.273
2,4,ambient,242,15.9455
2,4,ambient,243,15.9152
2,4,ambient,244,17.0739
2,4,ambient,245,18.849
2,4,ambient,246,20.9518
2,4,ambient,247,20.6697
2,4,ambient,248,19.8345
2,4,ambient,249,21.1303
2,4,ambient,250,21.8052
2,4,ambient,251,22.0796
2,4,ambient,252,21.0817
2,4,ambient,253,23.0955
2,4,ambient,254,23.1111
2,4,ambient,255,22.4328
2,4,ambient,256,22.109
2,4,ambient,257,22.9963
2,4,ambient,258,23.8592
2,4,ambient,259,23.7907
2,4,ambient,260,21.3888
2,4,ambient,261,22.0268
2,4,ambient,262,23.6064
2,4,ambient,263,19.1557
2,3,elevated,203,21.661
2,3,elevated,204,24.3269
2,3,elevated,205,24.788
2,3,elevated,206,23.7178
2,3,elevated,207,22.9436
