Obs,ring,DOY,H2O,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
1,17,167,con,amb,1,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095,42.0069,45.3367,43.9885,45.2201,44.1356,44.2058,43.9095
2,17,167,dry,amb,1,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
3,21,167,con,ele,1,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215,40.0097,42.0545,39.7882,39.9999,42.1519,44.2921,44.8215
4,21,167,dry,ele,1,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
5,17,169,con,amb,1,36.2071,43.7184,43.5664,44.2468,43.4724,44.0079,43.8313,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
6,17,169,dry,amb,1,34.4767,41.4724,41.8142,43.9804,43.7886,44.0294,42.8484,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
7,21,169,con,ele,1,36.838,39.7936,39.0761,40.3002,42.5402,44.5403,45.0321,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
8,21,169,dry,ele,1,35.839,40.0486,38.7632,40.885,42.4949,44.0843,44.2631,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
9,17,175,con,amb,1,40.108,44.3829,43.5743,44.2686,43.655,44.1721,43.8856,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
10,17,175,dry,amb,1,37.6035,41.8104,42.0004,44.1273,43.7783,44.0107,43.1004,40.5124,42.7481,42.4278,44.4045,44.3042,44.1762,43.4554
11,21,175,con,ele,1,39.4361,40.8129,39.8303,40.1816,42.5618,44.5937,45.1516,37.9724,42.3169,39.2747,41.2432,43.0601,44.5019,45.1581
