"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2002,1,0,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,1,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,2,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,3,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,4,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,5,161.4925,0,0,0,0,-11.48,0.885,3.12,0,8
2002,1,6,154.357,0,0,0,0.03,-11.93,0.9025,2.95,0,8.00011606284961
2002,1,7,144.0965,0,0,0,0,-12.37,0.9194,2.79,0,8.00026994818328
2002,1,8,132.8595,0,0,0,0,-12.78,0.935,2.69,0,8.00042947457866
2002,1,9,121.406,0,0,0,0,-13.17,0.9488,2.63,0,8.00058526962826
2002,1,10,110.0985,0,0,0,0,-13.53,0.9612,2.55,0,8.00072715993151
2002,1,11,99.202,0,0,0,0,-13.89,0.9744,2.43,0,8.00084492406901
2002,1,12,88.769,28.842,16.66,17.265,9.265,-13.83,0.9612,2.61,0,8.33210073711336
2002,1,13,79.741,293.618,105.34,138.17,55.8,-12.4,0.8825,2.79,0,8.38222944630438
2002,1,14,72.113,562.948,209.84,285.52,98.98,-10,0.7694,2.01,0,8.38258971312897
2002,1,15,66.507,811.808,294.96,400.695,125.37,-6.43,0.5262,2.12,0,8.38259168224571
2002,1,16,63.507,875.058,340.815,462.585,138.575,-4.82,0.4888,2.26,0,8.38259169008688
2002,1,17,63.4955,840.19,341.3,463.21,139.115,-3.61,0.4588,2.25,0,8.38259172472944
2002,1,18,66.477,655.96,246.5,338.63,105.115,-2.68,0.4194,2.09,0,8.38259188050369
2002,1,19,72.066,445.832,214.99,293.19,97.725,-2.31,0.4069,2.03,0,8.3825918369001
2002,1,20,79.6835,205.942,79.695,106.11,34.93,-3,0.5144,1.86,0,8.38259172630899
2002,1,21,88.7065,16.468,13.105,14.695,7.205,-5.69,0.7444,2.08,0,8.38181719507914
2002,1,22,99.128,0,0.105,0,0.03,-7.24,0.7594,2.61,0,8.08876696164331
2002,1,23,110.0195,0,0,0,0.005,-8.15,0.7806,2.87,0,8.08366021793916
2002,2,0,121.3245,0,0,0,0.09,-8.82,0.7988,2.94,0,8.08357365830116
2002,2,1,132.774,0,0,0,0.115,-9.34,0.815,2.93,0,8.08353357205374
2002,2,2,144.0065,0,0,0,0.125,-9.77,0.8312,2.89,0,8.08353659928217
2002,2,3,154.259,0,0,0,0.165,-10.17,0.8481,2.89,0,8.08358425929072
2002,2,4,161.3975,0,0,0,0.115,-10.62,0.865,2.98,0,8.08367398088621
2002,2,5,161.445,0,0,0,0.19,-11.17,0.8869,3.04,0,8.08379923757288
2002,2,6,154.366,0,0,0,0.16,-11.6,0.91,2.8,0,8.08395522326342
2002,2,7,144.1305,0,0,0,0.125,-11.86,0.9294,2.53,0,8.08412458609105
2002,2,8,132.9005,0,0,0,0.04,-12.06,0.9419,2.44,0,8.08429346197838
2002,2,9,121.447,0,0,0,0.03,-12.26,0.9525,2.5,0,8.08444923094344
2002,2,10,110.135,0,0,0,0.04,-12.27,0.9512,2.59,0,8.08458797366332
2002,2,11,99.2295,0,0.145,0,0,-12.13,0.9412,2.62,0,8.08470399744785
2002,2,12,88.7805,26.542,13.73,13.615,6.035,-11.62,0.925,2.48,0,8.3230098284887
2002,2,13,79.738,278.392,97.31,122.605,48.565,-9.3,0.81,3.03,0,8.4331894240781
2002,2,14,72.0885,572.01,203.395,265.395,93.945,-7.49,0.7562,2.21,0,8.43392453598894
2002,2,15,66.4565,797.318,284.675,380.955,121.9,-4.08,0.6231,1.93,0,8.43392789787118
2002,2,16,63.432,875.15,310.64,419.87,127.64,-2.2,0.5738,2.4,0,8.43392797763391
2002,2,17,63.3965,864.8,330.635,451.065,136.855,-1.56,0.5675,2.31,0,8.433927899812
2002,2,18,66.3575,736.46,290.64,394.005,124.335,-1.24,0.5669,2.1,0,8.43392792481444
2002,2,19,71.937,512.992,212.555,287.2,99.6,-1.27,0.5762,1.84,0,8.43392801397819
2002,2,20,79.548,233.082,92.73,121.7,49.15,-1.75,0.65,1.41,0,8.43392838206688
2002,2,21,88.5755,20.148,14.615,15.78,8.92,-2.93,0.7544,1.07,0,8.4338600315604
2002,2,22,98.988,0,0.11,0,0,-3.51,0.74,1.27,0,8.19233301155376
2002,2,23,109.879,0,0,0,0,-4.23,0.7538,1.56,0,8.18595347379615
2002,3,0,121.1845,0,0,0,0.005,-4.94,0.77,1.81,0,8.18588689711175
2002,3,1,132.634,0,0,0,0.08,-5.57,0.79,2.03,0,8.18585916487384
2002,3,2,143.865,0,0,0,0.045,-6.24,0.8119,2.25,0,8.185873424614
2002,3,3,154.1205,0,0,0,0.04,-7,0.8438,2.55,0,8.18592885470627
2002,3,4,161.2775,0,0,0,0.51,-7.65,0.8669,2.8,0,8.18603432641008
2002,3,5,161.3905,0,0,0,0.23,-8.2,0.8775,2.91,0,8.18619147871553
2002,3,6,154.368,0,0,0,0.105,-8.78,0.8838,2.93,0,8.18635460650453
2002,3,7,144.157,0,0,0,0,-9.35,0.8888,2.85,0,8.18651894189478
2002,3,8,132.9355,0,0,0,0.015,-9.97,0.8981,2.7,0,8.18667886184761
2002,3,9,121.4835,0,0,0,0.155,-10.57,0.9075,2.62,0,8.18683645339444
2002,3,10,110.1645,0,0,0,0.02,-11.07,0.9169,2.62,0,8.18697541255394
2002,3,11,99.25,0,0,0,0,-11.49,0.9306,2.67,0,8.18707835103907
2002,3,12,88.7905,28.75,14.725,16.01,7.77,-11.4,0.9338,2.66,0,8.4454447087532
2002,3,13,79.7295,295.918,98.11,125.005,51.7,-9.31,0.8325,3.79,0,8.51028699396469
2002,3,14,72.0575,596.758,201.32,267.665,95.975,-7.33,0.7875,3.26,0,8.51069171904033
2002,3,15,66.4,818.248,289.06,389.025,124.38,-4.02,0.6144,4.19,0,8.51069310675179
2002,3,16,63.348,919.632,335.84,455.99,139.765,-2.21,0.5475,4.6,0,8.51069309012665
2002,3,17,63.2895,916.642,336.845,458.575,140.54,-1.41,0.5288,4.73,0,8.51069310420531
2002,3,18,66.2325,796.03,292.955,397.635,127.045,-1.08,0.5238,4.9,0,8.5106931382757
2002,3,19,71.8,561.568,212.1,283.43,99.74,-1.26,0.5362,5.05,0,8.5106932675987
2002,3,20,79.4075,263.81,106.66,138.8,57.845,-2.17,0.6,4.48,0,8.51069380097685
2002,3,21,88.44,22.54,16.14,17.83,11.21,-4.99,0.7969,3.13,0,8.51068878395139
2002,3,22,98.8435,0,0,0,0.015,-6.49,0.8481,3.29,0,8.31555349705089
2002,3,23,109.7365,0,0,0,0,-7.35,0.8712,3.34,0,8.30795737078397
2002,4,0,121.043,0,0,0,0.105,-8.05,0.8888,3.38,0,8.30791322811161
2002,4,1,132.4895,0,0,0,0.005,-8.6,0.91,3.47,0,8.30789558522475
2002,4,2,143.72,0,0,0,0.025,-8.97,0.9225,3.64,0,8.30791898803222
2002,4,3,153.9745,0,0,0,0,-9.21,0.9281,3.85,0,8.30798326915168
2002,4,4,161.1495,0,0,0,0.11,-9.4,0.9294,4.06,0,8.30808563203047
2002,4,5,161.3255,0,0,0,0.175,-9.52,0.9244,4.29,0,8.3082266083551
2002,4,6,154.362,0,0,0,0.06,-9.63,0.9181,4.5,0,8.30838876999878
2002,4,7,144.179,0,0,0,0,-9.68,0.9081,4.82,0,8.30855207799642
2002,4,8,132.9655,0,0,0,0.04,-9.7,0.9006,5.21,0,8.30871358955759
2002,4,9,121.513,0,0,0,0.035,-9.8,0.9012,5.51,0,8.30886489180915
2002,4,10,110.188,0,0,0,0,-9.93,0.9075,5.74,0,8.30899192925268
2002,4,11,99.2645,0,0.035,0,0,-10.11,0.9225,5.82,0,8.30908800894848
2002,4,12,88.7915,26.542,16.53,17.06,9.095,-9.98,0.9231,6.15,0,8.56978042077677
2002,4,13,79.7145,277.61,106.905,134.19,57.62,-8.3,0.8538,6.77,0,8.60840208009671
2002,4,14,72.019,561.568,211.545,277.415,100.765,-5.66,0.7669,6.6,0,8.60862316771773
2002,4,15,66.336,782.46,292.545,392.62,126.54,-2.16,0.6356,7.92,0,8.60862358288887
2002,4,16,63.256,888.49,325.35,442.015,135.955,0.67,0.5312,9.28,0,8.6086235695525
2002,4,17,63.174,889.318,325.445,444.32,137.225,2.26,0.5156,9.45,0,8.6086236074551
2002,4,18,66.1005,780.068,283.94,386.395,124.16,3.2,0.5269,9.49,0,8.60862375957995
2002,4,19,71.6585,477.02,203.575,272.655,95.755,3.34,0.5538,8.99,0,8.60862381538542
2002,4,20,79.261,197.018,91.43,119.84,46.825,2.4,0.6162,7.81,0,8.60862358994835
2002,4,21,88.264,21.252,14.815,16.29,7.865,0.57,0.6994,7.12,0,8.60851738698193
2002,4,22,98.695,0,0.17,0,0.435,-0.6,0.7531,7.28,0,8.39914408155744
2002,4,23,109.5885,0,0,0,0.025,-1.45,0.795,7.32,0,8.3951572625531
2002,5,0,120.895,0,0,0,0.04,-2.2,0.83,7.24,0,8.39512702565307
2002,5,1,132.344,0,0,0,0,-2.72,0.8544,7.1,0,8.39511839479888
2002,5,2,143.571,0,0,0,0,-3.13,0.8731,6.87,0,8.39515056610314
2002,5,3,153.8265,0,0,0,0,-3.04,0.8662,6.87,0,8.39522264131027
2002,5,4,161.0175,0,0,0,0,-3.32,0.8806,6.61,0,8.39532956170786
2002,5,5,161.254,0,0,0,0,-3.74,0.9006,6.29,0,8.39546424459857
2002,5,6,154.3495,0,0,0,0,-4.08,0.9169,6,0,8.39561740658813
2002,5,7,144.194,0,0,0,0,-4.33,0.9338,5.91,0,8.39577885403784
2002,5,8,132.988,0,0,0,0.01,-4.3,0.9369,5.76,0.01,8.39593778499169
2002,5,9,121.5365,0,0,0,0,-3.84,0.925,5.83,0.02,8.39608272847977
2002,5,10,110.208,0,0,0,0.045,-3.33,0.9219,5.84,0.07,8.39620460173495
2002,5,11,99.2735,0,0.095,0,0,-2.95,0.9275,5.88,0,8.39629648270358
2002,5,12,88.7855,12.282,7.205,5.72,1.855,-2.58,0.9288,5.9,0,8.39948200973389
2002,5,13,79.6915,70.058,31.89,37.865,10.095,-2,0.9144,6,0.01,8.60452633508973
2002,5,14,71.974,226.32,99.825,132.52,35.78,-1.08,0.8825,5.98,0.01,8.60726717811075
2002,5,15,66.265,224.48,61.815,78.73,20.13,0.19,0.8444,5.82,0.03,8.60726832857636
2002,5,16,63.1585,281.29,156.225,210.51,55.3,0.9,0.8406,5.96,0.06,8.60726811020196
2002,5,17,63.053,213.348,83.155,108.305,27.525,1.16,0.8519,6.05,0.05,8.60726815169742
2002,5,18,65.9605,291.18,78.175,102.06,25.91,1.14,0.8788,5.26,0.01,8.60726806839371
2002,5,19,71.5095,205.16,96.605,129.39,34.49,1.18,0.9,4.59,0,8.60726808298608
2002,5,20,79.1105,114.31,30.395,37.71,10.43,1.31,0.9112,4.68,0.01,8.60726811032204
2002,5,21,88.121,13.8,2.09,0.855,1.22,0.3,0.9669,3.38,0.04,8.42021503908681
2002,5,22,98.5435,0,0.125,0,0.1,-0.26,1,3.35,0.03,8.38267615210423
2002,5,23,109.4385,0,0,0,0.08,-0.29,1,3.57,0.01,8.38247107820217
2002,6,0,120.7455,0,0,0,0.14,-0.2,1,3.48,0.01,8.38242847108669
2002,6,1,132.195,0,0,0,0.075,-0.22,1,3.33,0.05,8.38242854210777
2002,6,2,143.421,0,0,0,0.205,-0.24,1,3.38,0.1,8.3824732806138
2002,6,3,153.672,0,0,0,0,-0.2,1,3.67,0.14,8.38256027628211
2002,6,4,160.877,0,0,0,0,-0.33,1,3.49,0.17,8.38267453087999
2002,6,5,161.1735,0,0,0,0,-0.54,0.9975,3.1,0.16,8.38281410402186
2002,6,6,154.33,0,0,0,0,-0.74,0.9944,3.06,0.11,8.38296983155018
2002,6,7,144.2015,0,0,0,0,-0.91,0.9906,3.13,0.06,8.38313193033607
2002,6,8,133.007,0,0,0,0.005,-1.18,0.9944,2.91,0.03,8.3832883006747
2002,6,9,121.5565,0,0,0,0,-1.39,0.9894,3.37,0.01,8.38342841318433
2002,6,10,110.2225,0,0,0,0,-1.66,0.9856,3.79,0.01,8.38354282290339
2002,6,11,99.278,0,0,0,0.25,-1.93,0.985,4.13,0.01,8.38362950980643
2002,6,12,88.7765,12.65,3.02,4.84,4.335,-2.08,0.9825,4.07,0.01,8.38476176102235
2002,6,13,79.662,174.892,24.955,51.715,29.205,-1.81,0.9694,4.53,0.01,8.57219958171721
2002,6,14,71.922,321.31,63.405,133.795,70.135,-0.64,0.9156,5.47,0.01,8.5742185114246
2002,6,15,66.186,502.182,103.185,195.28,88.345,1.19,0.8188,6.32,0.01,8.57421528410102
2002,6,16,63.053,600.07,189.035,273.19,81.555,2.62,0.7431,6.89,0.01,8.57421501955789
2002,6,17,62.923,772.57,296.035,399.16,114.015,3.37,0.7,7.21,0.01,8.57421509683611
2002,6,18,65.818,540.132,256.375,355.03,107.38,3.4,0.6869,7.43,0.01,8.57421542615845
2002,6,19,71.3565,332.258,122.72,169.435,49.145,2.89,0.7,7.34,0,8.57421506691502
2002,6,20,78.9545,158.792,54.985,72.63,20.86,1.82,0.76,6.33,0.01,8.57421519863142
2002,6,21,87.9735,13.57,9.115,8.06,3.135,0.38,0.8275,6,0.01,8.53101319266439
2002,6,22,98.388,0,0,0,0.045,-0.38,0.8569,6.11,0.01,8.39801164513235
2002,6,23,109.287,0,0,0,0.055,-0.76,0.8681,6.28,0.01,8.39764369974127
2002,7,0,120.594,0,0,0,0.19,-0.98,0.8638,6.42,0,8.39761366969423
2002,7,1,132.043,0,0,0,0.22,-1.14,0.8631,6.62,0,8.39762114065669
2002,7,2,143.2685,0,0,0,0.24,-1.43,0.8738,6.37,0,8.39767660739605
2002,7,3,153.5145,0,0,0,0.24,-1.95,0.8812,6.48,0,8.39777776064311
2002,7,4,160.731,0,0,0,0.325,-2.4,0.8731,6.97,0,8.39791904553801
2002,7,5,161.0855,0,0,0,0.63,-2.9,0.8575,7.39,0,8.39811113895624
2002,7,6,154.303,0,0,0,0.395,-3.58,0.8494,7.57,0,8.39833425143091
2002,7,7,144.203,0,0,0,0.33,-4.62,0.8581,7.26,0,8.39854079366022
2002,7,8,133.0195,0,0,0,0.345,-5.85,0.9019,5.99,0,8.3987335207826
2002,7,9,121.5685,0,0,0,0.29,-6.95,0.9331,5.04,0,8.39890226386374
2002,7,10,110.228,0,0,0,0.27,-7.86,0.96,4.3,0,8.3990332660747
2002,7,11,99.2755,0,0,0,0.29,-8.58,0.9881,4.36,0,8.39912236570867
2002,7,12,88.7605,29.9,15.145,16,8.785,-8.9,0.9869,5.07,0,8.59524033609905
2002,7,13,79.6275,262.108,103.36,128.295,53.925,-7.77,0.865,5.88,0,8.63051827882182
2002,7,14,71.8625,583.832,210.015,275.02,98.61,-6.02,0.72,6.22,0,8.63065965007097
