"year","doy","hour","zen","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
2004,1,0,161.512,0,0,0,0,-1.8,0.8638,3.51,0,8
2004,1,1,154.35,0,0,0,0.005,-1.63,0.8944,3.6,0,8.00011499826797
2004,1,2,144.0775,0,0,0,0,-1.37,0.9462,3.6,0,8.00026714274172
2004,1,3,132.836,0,0,0,0,-1.12,1,3.58,0,8.00042680187575
2004,1,4,121.3835,0,0,0,0.03,-0.9,1,3.66,0,8.00058298933508
2004,1,5,110.078,0,0,0,0.04,-0.73,1,3.82,0,8.00072433048187
2004,1,6,99.185,0,0.235,0,0,-0.63,1,4.05,0,8.00084326415036
2004,1,7,88.7585,20.7,8.005,5.165,2.44,0.55,1,5.2,0,8.00551694885255
2004,1,8,79.739,69.69,27.97,29.74,8.06,1.9,0.9506,6.16,0,8.32007203352266
2004,1,9,72.121,111.32,37.255,42.18,11.275,3.42,0.9056,6.65,0,8.32661389222801
2004,1,10,66.5265,335.248,75.285,93.705,24.37,4.58,0.8681,6.99,0,8.32665037081811
2004,1,11,63.541,394.818,179.77,236.785,66.15,6.19,0.8088,7,0,8.32665041609816
2004,1,12,63.543,505.908,144.685,186.745,50.215,8.08,0.7562,7.14,0,8.32665045646404
2004,1,13,66.5305,440.45,139.93,181.205,51.32,9.42,0.7469,6.73,0,8.32665063494776
2004,1,14,72.127,264.27,131.195,169.685,50.395,9.69,0.7712,6.8,0.01,8.32665052465574
2004,1,15,79.7475,111.09,40.81,46.72,13.89,9.39,0.8138,7.51,0.04,8.32665058088823
2004,1,16,88.7685,10.58,7.685,4.65,2.07,9.26,0.8619,8.7,0.1,8.1813841429644
2004,1,17,99.1955,0,0.16,0,0.065,9.33,0.9144,9.09,0.15,8.04770136209977
2004,1,18,110.088,0,0,0,0.005,9.05,0.96,8.29,0.13,8.04682770027882
2004,1,19,121.393,0,0,0,0.005,9.03,0.9819,7.5,0.12,8.04673961672839
2004,1,20,132.8415,0,0,0,0.02,9.22,0.985,7.32,0.1,8.04669655365284
2004,1,21,144.0735,0,0,0,0.01,9.42,0.9838,7.11,0.04,8.04670078413062
2004,1,22,154.3285,0,0,0,0.045,9.91,0.9744,7.77,0.01,8.0467521805277
2004,1,23,161.452,0,0,0,0.015,9.87,0.9875,7.22,0.01,8.04684739261853
2004,2,0,161.47,0,0,0,0.005,9.63,0.9988,6.54,0.01,8.04698082438592
2004,2,1,154.362,0,0,0,0,9.18,1,5.71,0.01,8.04714240759984
2004,2,2,144.1135,0,0,0,0.075,8.08,1,4.47,0,8.04732191165619
2004,2,3,132.88,0,0,0,0,6.58,1,3.81,0.01,8.04750666700032
2004,2,4,121.4265,0,0,0,0.02,5.86,1,3.61,0.01,8.04768386650525
2004,2,5,110.1175,0,0,0,0.075,5.5,1,3.41,0.02,8.04784141248513
2004,2,6,99.2145,0,0.175,0,0.08,5.87,1,3.41,0.09,8.04796919141175
2004,2,7,88.7755,17.618,11.065,9.155,2.88,6.69,1,3.54,0.13,8.08897904798449
2004,2,8,79.7395,71.99,54.21,64.65,16.115,10.51,0.9812,4.9,0.12,8.35971859471689
2004,2,9,72.1005,215.97,44.305,50.525,12.29,12.66,0.9219,6.08,0.06,8.36185602844398
2004,2,10,66.4815,286.718,64.615,75.985,17.39,14.72,0.8812,6.84,0.03,8.36186615024007
2004,2,11,63.4685,224.848,80.435,96.485,22.47,15.74,0.8662,7.81,0.02,8.36186613260995
2004,2,12,63.4455,255.852,92.03,111.5,26.625,15.87,0.8838,8.22,0.03,8.3618661736669
2004,2,13,66.416,262.108,86.98,105.915,26.795,16.8,0.8769,8.83,0.04,8.36186635287148
2004,2,14,72,260.682,59.03,69.875,18.74,17.26,0.8769,8.72,0.04,8.36186625567264
2004,2,15,79.614,120.52,51.49,59.475,17.785,16.92,0.8862,9.16,0.05,8.3618662235307
2004,2,16,88.6385,14.95,9.59,6.65,3.01,16.26,0.905,9.92,0.06,8.29289971404407
2004,2,17,99.0575,0,0.19,0,0.035,15.76,0.9256,10.25,0.04,8.11005137415311
2004,2,18,109.949,0,0,0,0.08,15.44,0.9406,10.4,0.03,8.10900365488652
2004,2,19,121.2535,0,0,0,0.01,15.29,0.9494,10.15,0.03,8.10892803944015
2004,2,20,132.703,0,0,0,0,15.28,0.955,9.91,0.05,8.10889709768681
2004,2,21,143.9345,0,0,0,0.03,15.42,0.9488,9.51,0.14,8.10891362558949
